Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 05/11/2024
Comparison Date: Date not set
Total Yarding: 2800 (NQ)
Commentary
"Numbers were down slightly on the eve of the race that stops the nation, as 885 exports and 535 trade cattle were on hand. Not all buyers were in attendance, after last week’s very strong showing. The export quality was fair but not to the same level as the previous sale. There were fewer heavy steers and prices for the grown steers and bullocks showed an overall cheaper trend. 

The trade cattle had fewer lighter weighted cattle, with the store portion having more weight this week. There were a couple of pens of supplementary fed lots.The best of the B muscled yearling steers topped at 389c/kg for both the steer and heifer portion. The bulk of the yearling steers made from 295c to 360c/kg to average 331c/kg. The yearling heifers portion to the trade, ranged from 280c to 355c/kg with the odd sale to 389c/kg.  Feedlotters remained active over the whole yarding.

The Friesian steers made from 222c to 295c/kg. The 500 to 600kg steers ranged from 300c to 360c/kg. The 600kg plus steers made from 310c to 355c/kg. Heavy beef cows ranged from 270c to 310c/kg to average 295c/kg. The dairy cows were in limited number and made from 218c to 248c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,1,34,17,315.0,330.0,321.47058823529414,NC,605.8,634.6,618.2,1055.3,1300.0,1147.0441176470588
Yearling Steer,330-400,Feeder,C,2,22,-15,302.0,302.0,302,-30.8,580.8,580.8,580.8,1205.0,1205.0,1204.9799360795455
Yearling Steer,330-400,Feeder,C,3,6,-22,304.0,304.0,304,-31.5,573.6,573.6,573.6,1170.4,1170.4,1170.4000651041667
Yearling Steer,330-400,Feeder,D,1,58,29,264.0,284.0,274.3448275862069,NC,517.6,568.0,548.0,963.6,1065.0,1026.972412109375
Yearling Steer,330-400,Processor,B,1,4,2,345.0,345.0,345,NC,638.9,638.9,638.9,1362.8,1362.8,1362.75
Yearling Steer,330-400,Processor,C,1,4,2,295.0,295.0,295,NC,556.6,556.6,556.6,1106.3,1106.3,1106.25
Yearling Steer,330-400,Processor,C,3,14,-12,365.0,365.0,365,25.0,675.9,675.9,675.9,1405.3,1405.3,1405.25
Yearling Steer,330-400,Restocker,C,1,18,-4,303.0,303.0,303,1.3,582.7,582.7,582.7,1105.9,1105.9,1105.949978298611
Yearling Steer,400+,Processor,B,2,4,-2,389.0,389.0,389,22.7,707.3,707.3,707.3,1731.1,1731.1,1731.050048828125
Yearling Steer,400+,Processor,B,3,8,4,350.0,355.0,351.25,NC,636.4,645.5,638.6,1544.3,1592.5,1580.4375
Yearling Steer,400+,Processor,C,2,2,-2,340.0,340.0,340,-3.8,641.5,641.5,641.5,1513.0,1513.0,1513
Yearling Steer,400+,Processor,C,3,96,26,302.0,367.0,333,-3.6,569.8,679.6,620.6,1286.5,1712.7,1459.1895853678386
Yearling Heifer,280-330,Dairy,D,1,26,3,237.0,237.0,237,3.0,504.3,504.3,504.3,782.1,782.1,782.0999849759615
