Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 07/01/2025
Comparison Date: 10/12/2024
Total Yarding: 1450 (-750)
Commentary
"There were 950 exports of that 370 were cows and 545 trade cattle were penned. First sale back for 2025 saw the market kick, even though not all buyers attended or purchasing, the exporters at the rails were keen to source the well shaped and finished grown stock. 

The trade cattle were a little variable in quality, however this failed to stop the price rises of 10c to 30c/kg, There was a fair to good quality offering of medium to heavy vealers that made from 340c to 388c/kg. The yearling steers to the trade ranged from 333c to 395c/kg, while the yearling heifers ranged from 320c to 385c/kg. Feedlotters were active across the yard which helped lift plainer cattle prices.

The grown steers were 20c to 25c/kg increase. The 500 to 600kg grown steers made from 350c to 385c/kg. The 600kg plus steers made from 335c to 395c/kg to average 378c/kg. 

There was a good line up of fattened dairy cows , however it was the plainer types that saw the greatest gain. Prices for heavy Friesians rose by 10c to 25c/kg.  The beef cows gained 6c to 11c/kg. Beef cows made from 289c to 322c/kg, while the dairy portion made from 255c to 308c/kg. The beef bulls made from 275c to a top of 340c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,1,4,NQ,231.0,231.0,231,NQ,462.0,462.0,462.0,589.0,589.0,589.0499877929688
Yearling Steer,280-330,Feeder,C,2,10,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1089.0,1089.0,1089
Yearling Steer,280-330,Restocker,D,1,8,-4,300.0,300.0,300,-4.5,600.0,600.0,600.0,885.0,885.0,885
Yearling Steer,330-400,Feeder,C,1,16,-16,338.0,357.0,347.5,39.5,662.7,686.5,674.6,1199.9,1249.5,1224.7000122070312
Yearling Steer,330-400,Processor,C,2,18,7,333.0,340.0,336.1111111111111,-13.7,628.3,653.8,639.7,1139.0,1328.7,1244.3722330729167
Yearling Steer,330-400,Processor,C,3,1,-8,370.0,370.0,370,12.7,698.1,698.1,698.1,1424.5,1424.5,1424.5
Yearling Steer,330-400,Restocker,C,1,21,7,320.0,350.0,335.42857142857144,-10.6,615.4,673.1,649.9,1136.0,1199.9,1177.7714378720239
Yearling Steer,330-400,Restocker,C,2,11,NQ,330.0,376.0,355.09090909090907,NQ,634.6,723.1,682.9,1105.5,1285.9,1203.9109552556818
Yearling Steer,400+,Processor,B,2,6,NQ,355.0,365.0,361.6666666666667,NQ,669.8,688.7,682.4,1473.3,1551.3,1513.0833333333333
Yearling Steer,400+,Processor,B,3,3,-3,395.0,395.0,395,31.0,718.2,718.2,718.2,1718.3,1718.3,1718.25
Yearling Steer,400+,Processor,C,3,14,5,365.0,380.0,372.64285714285717,35.3,675.9,703.7,687.4,1673.2,1767.0,1703.2464425223213
Yearling Heifer,280-330,Restocker,D,1,6,-2,221.0,221.0,221,-19.0,442.0,442.0,442.0,652.0,652.0,651.9500325520834
Yearling Heifer,330-400,Processor,C,2,2,NQ,320.0,340.0,330,NQ,615.4,653.8,634.6,1120.0,1241.0,1180.5
Yearling Heifer,330-400,Processor,C,3,29,-19,372.0,378.0,374.8965517241379,32.5,701.9,713.2,707.4,1432.2,1493.1,1461.6000134698277
Yearling Heifer,330-400,Processor,C,4,4,NQ,368.0,372.0,371,NQ,694.3,701.9,700.0,1416.8,1432.2,1428.3499145507812
Yearling Heifer,330-400,Processor,D,1,8,NQ,260.0,264.0,262,NQ,520.0,528.0,524.0,897.0,910.8,903.8999938964844
Yearling Heifer,330-400,Processor,D,3,60,57,266.0,355.0,319.48333333333335,17.8,511.5,676.9,609.3,917.7,1242.5,1131.621826171875
Yearling Heifer,330-400,Processor,D,4,8,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1386.0,1386.0,1386
Yearling Heifer,330-400,Restocker,D,2,9,3,291.0,320.0,295.8888888888889,-3.1,559.6,615.4,569.0,974.8,1104.0,1004.6500108506945
Yearling Heifer,400+,Feeder,C,3,11,NQ,357.0,357.0,357,NQ,673.6,673.6,673.6,1481.6,1481.6,1481.5500710227273
Yearling Heifer,400+,Processor,C,3,16,10,340.0,385.0,362.5,22.5,641.5,713.0,677.2,1445.0,1636.3,1540.625
Yearling Heifer,400+,Processor,D,4,6,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1566.0,1566.0,1566
Vealer Steer,280-330,Processor,B,2,6,NQ,375.0,375.0,375,NQ,681.8,681.8,681.8,1125.0,1125.0,1125
Vealer Steer,280-330,Restocker,C,2,9,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1088.0,1088.0,1088
Vealer Steer,330+,Processor,B,2,7,NQ,388.0,388.0,388,NQ,692.9,692.9,692.9,1396.8,1396.8,1396.800083705357
Vealer Steer,330+,Processor,C,2,8,NQ,362.0,388.0,381.5,NQ,670.4,718.5,706.5,1230.8,1377.4,1340.7500610351562
Vealer Heifer,280-330,Feeder,C,2,3,NQ,305.0,305.0,305,NQ,575.5,575.5,575.5,945.5,945.5,945.5
Vealer Heifer,280-330,Processor,C,2,17,NQ,320.0,350.0,332.94117647058823,NQ,603.8,648.1,624.6,912.0,1023.0,982.8529411764706
Vealer Heifer,330+,Processor,C,2,14,NQ,345.0,345.0,345,NQ,650.9,650.9,650.9,1155.8,1155.8,1155.75
Vealer Heifer,330+,Processor,C,3,9,NQ,385.0,385.0,385,NQ,700.0,700.0,700.0,1443.8,1443.8,1443.75
Manufacturing Steer,0-540,Dairy,D,1,19,13,225.0,281.0,256.94736842105266,44.9,478.7,562.0,526.6,978.8,1419.1,1221.2473658511512
Manufacturing Steer,540+,Dairy,D,1,17,NQ,300.0,310.0,302.94117647058823,NQ,588.2,607.8,594.0,1650.0,1689.5,1661.6176470588234
Manufacturing Steer,540+,Dairy,D,2,36,NQ,310.0,310.0,310,NQ,607.8,607.8,607.8,1813.5,1813.5,1813.5
Grown Steer,400-500,Feeder,C,1,3,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1328.0,1328.0,1328
Grown Steer,400-500,Feeder,C,2,15,1,315.0,330.0,320,NC,605.8,634.6,615.4,1307.3,1485.0,1366.5
Grown Steer,400-500,Feeder,D,2,6,-8,339.0,339.0,339,29.0,664.7,664.7,664.7,1372.9,1372.9,1372.9498697916667
Grown Steer,400-500,Processor,C,3,21,-17,360.0,370.0,364.2857142857143,29.3,666.7,698.1,680.1,1794.5,1796.4,1795.5857514880952
Grown Steer,400-500,Processor,C,4,7,-1,380.0,380.0,380,35.0,703.7,703.7,703.7,1710.0,1710.0,1710
Grown Steer,400-500,Processor,D,2,7,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1335.0,1335.0,1335
Grown Steer,400-500,Restocker,C,1,3,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1148.0,1148.0,1148
Grown Steer,400-500,Restocker,C,2,17,NQ,310.0,340.0,325.29411764705884,NQ,607.8,641.5,623.9,1328.0,1547.0,1419.6470588235295
Grown Steer,500-600,Processor,C,3,9,-17,380.0,380.0,380,41.3,703.7,703.7,703.7,1957.0,1957.0,1957
Grown Steer,500-600,Processor,C,4,32,-23,360.0,385.0,373.5,27.0,679.2,726.4,697.8,1980.0,2252.3,2109.637451171875
Grown Steer,500-600,Processor,D,4,5,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,2047.5,2047.5,2047.5
Grown Steer,600-750,Processor,B,3,4,NQ,365.0,365.0,365,NQ,651.8,651.8,651.8,2372.5,2372.5,2372.5
Grown Steer,600-750,Processor,B,4,2,NQ,395.0,395.0,395,NQ,681.0,681.0,681.0,2508.3,2508.3,2508.25
Grown Steer,600-750,Processor,C,3,9,NQ,335.0,382.0,376.77777777777777,NQ,632.1,720.8,710.9,2294.8,2502.1,2479.0611979166665
Grown Steer,600-750,Processor,C,4,10,-47,375.0,380.0,377.5,33.7,703.7,707.5,705.6,2375.0,2400.0,2387.5
Grown Heifer,0-540,Dairy,D,1,54,NQ,230.0,300.0,275.94444444444446,NQ,511.1,588.2,564.7,805.0,1455.0,1251.5185185185185
Grown Heifer,0-540,Processor,C,3,12,-2,324.0,324.0,324,6.1,623.1,623.1,623.1,1571.4,1571.4,1571.4000651041667
Grown Heifer,0-540,Processor,C,4,17,9,350.0,355.0,353.52941176470586,23.5,657.4,660.4,658.3,1697.5,1721.8,1714.6176470588234
Grown Heifer,0-540,Processor,D,3,7,-1,355.0,355.0,355,20.0,682.7,682.7,682.7,1615.3,1615.3,1615.25
Grown Heifer,0-540,Processor,D,4,7,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1926.0,1926.0,1926
Grown Heifer,540+,Processor,C,4,14,NQ,370.0,382.0,374.2857142857143,NQ,698.1,720.8,706.2,2164.5,2387.5,2244.1428571428573
Cows,400-520,Dairy,D,1,5,-19,290.0,290.0,290,68.0,644.4,644.4,644.4,1464.5,1464.5,1464.5
Cows,400-520,Dairy,E,1,37,2,127.0,264.0,222.7027027027027,-3.7,317.5,614.0,525.2,628.7,1306.8,1075.135154930321
Cows,400-520,Processor,D,1,27,7,265.0,275.0,269.85185185185185,-7.1,552.1,611.1,569.5,1152.8,1333.8,1265.4925853587963
Cows,400-520,Processor,D,2,13,-10,288.0,288.0,288,18.8,576.0,576.0,576.0,1483.2,1483.2,1483.199969951923
