Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,1,1,NQ,320.0,320.0,320,NQ,627.5,627.5,627.5,880.0,880.0,880
Yearling Steer,280-330,Restocker,C,1,8,NQ,351.0,351.0,351,NQ,675.0,675.0,675.0,1049.5,1049.5,1049.489990234375
Yearling Steer,330-400,Feeder,C,2,9,7,355.0,359.0,355.44444444444446,-4.6,696.1,703.9,696.9,1242.5,1256.5,1244.0555555555557
Yearling Steer,330-400,Processor,C,1,1,NQ,350.0,350.0,350,NQ,636.4,636.4,636.4,1347.5,1347.5,1347.5
Yearling Steer,330-400,Processor,C,2,2,-1,412.0,412.0,412,27.0,777.4,777.4,777.4,1462.6,1462.6,1462.5999755859375
Yearling Steer,330-400,Processor,C,3,15,3,342.0,414.0,383.3333333333333,-30.4,645.3,781.1,721.4,1316.7,1578.5,1442.7532958984375
Yearling Steer,330-400,Processor,D,2,3,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,1125.2,1125.2,1125.1800130208333
Yearling Steer,330-400,Restocker,C,2,10,4,315.0,330.0,322.5,-36.5,594.3,622.6,608.5,1105.5,1212.8,1159.125
Yearling Steer,330-400,Restocker,D,1,26,NQ,308.0,320.0,313.0769230769231,NQ,616.0,640.0,623.7,1093.4,1136.0,1105.2692307692307
Yearling Steer,400+,Processor,B,1,3,NQ,390.0,390.0,390,NQ,709.1,709.1,709.1,1735.5,1735.5,1735.5
Yearling Steer,400+,Processor,C,3,15,-2,338.0,420.0,361.1333333333333,-42.7,637.7,777.8,678.4,1537.9,1827.0,1611.9566731770833
