Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 10/12/2024
Comparison Date: 03/12/2024
Total Yarding: 2200 (+380)
Commentary
"The numbers remained up for the last Shepparton sale for 2024. There were 1600 exports and 620 trade cattle, amongst the exports were several lots of heavy well conditioned beef cows that met further rises of 3c to 10c/kg. Buyers were chasing  heavy cattle with a bit more spirit in the competition this sale. 

The young cattle quality remained mixed. Store buyers and feedlotters were more active. The best of the vealers made from 320c to 354c/kg. The B muscled yearling steers made to 375c/kg, those going to processors averaged 349c/kg. The yearling heifers to the trade made from 295c to 374c/kg to average 342c/kg.

Heavy cattle were generally 5c to 15c/kg stronger. The 500 to 600kg steers ranged from 310c to 362c/kg, while the 600kg plus steers made from 310c to 362c/kg. Heavy beef cows made from 280c to 318c/kg. Not many dairy cows about, with the prices between 250c to 290c/kg for those over 520kg/lwt."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,D,1,4,NQ,315.0,315.0,315,NQ,630.0,630.0,630.0,929.3,929.3,929.25
Yearling Steer,280-330,Restocker,C,1,6,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,888.0,888.0,888
Yearling Steer,280-330,Restocker,D,1,12,NQ,295.0,314.0,304.5,NQ,590.0,628.0,609.0,870.3,926.3,898.2749837239584
Yearling Steer,330-400,Feeder,C,1,32,24,308.0,308.0,308,9.0,603.9,603.9,603.9,1062.6,1062.6,1062.5999755859375
Yearling Steer,330-400,Feeder,C,2,11,7,296.0,296.0,296,-39.0,569.2,569.2,569.2,1080.4,1080.4,1080.4000355113637
Yearling Steer,330-400,Processor,B,2,6,NQ,375.0,375.0,375,NQ,681.8,681.8,681.8,1481.3,1481.3,1481.25
Yearling Steer,330-400,Processor,C,1,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1050.0,1050.0,1050
Yearling Steer,330-400,Processor,C,2,11,1,322.0,368.0,349.8181818181818,2.3,619.2,692.3,660.8,1110.9,1416.8,1280.3272816051137
Yearling Steer,330-400,Processor,C,3,9,-2,354.0,360.0,357.3333333333333,-2.7,655.6,679.2,668.7,1362.9,1412.5,1386.7466634114583
Yearling Steer,330-400,Restocker,C,1,14,NQ,346.0,346.0,346,NQ,665.4,665.4,665.4,1159.1,1159.1,1159.0999581473213
Yearling Steer,330-400,Restocker,D,1,10,NQ,250.0,250.0,250,NQ,490.2,490.2,490.2,837.5,837.5,837.5
Yearling Steer,400+,Feeder,C,2,3,NQ,315.0,340.0,331.6666666666667,NQ,605.8,653.8,637.8,1401.8,1513.0,1475.9166666666667
Yearling Steer,400+,Processor,B,3,6,-4,352.0,370.0,364,4.0,640.0,672.7,661.8,1609.5,1636.8,1618.6000162760417
