Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 11/03/2025
Comparison Date: 
Total Yarding: 1700 (NQ)
Commentary
"There were 1085 exports and 585 trade cattle offered, amongst the exports were 480 cows. It was noticeable that several feedlotters and store buyers were absent and some processors were present but not operating. 

The trade quality was very mixed with weights also highly variable. Prices for the heavy cattle with cover and shape sold at stronger rates as C4 bullocks rebounded 10 to 20c/kg. Both beef and dairy cows lifted slightly after last weeks heavy falls to be 5 to 10c/kg dearer. 

Top calves lifted, the best of the vealers reached 400c/kg. The B & C muscled yearling steers ranged from 320c to 408c/kg to average 386c/kg. The better end of the yearling heifer portion made from 320c to 417c/kg to average 350c/kg. 

The finished grown steers were not in abundance but still had some good lines presented. The 400 to 500kg steers made from 270c to 369c/kg. The 500 to 600kg C3 and C4 steers ranged from 374c to 390c/kg, with the 600kg plus steers C3 and C4 made from 360c to 390c/kg.

The heavy beef cows made from 265c to 310c/kg and the heavy dairy cows made from 228c to 265c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,1,22,-1,320.0,331.0,327.6363636363636,8.9,615.4,652.0,636.9,1136.0,1222.5,1171.8636363636363
Yearling Steer,330-400,Processor,B,2,2,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,1520.0,1520.0,1520
Yearling Steer,330-400,Processor,C,1,4,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1241.0,1241.0,1241
Yearling Steer,330-400,Processor,C,2,10,-13,287.0,334.0,317.9,-20.6,541.5,630.2,599.8,1133.7,1270.5,1209.14501953125
Yearling Steer,330-400,Processor,C,3,17,NQ,355.0,394.0,372.29411764705884,NQ,657.4,729.6,696.4,1350.5,1501.5,1388.932351505055
Yearling Steer,330-400,Processor,C,4,1,NQ,346.0,346.0,346,NQ,652.8,652.8,652.8,1314.8,1314.8,1314.800048828125
Yearling Steer,400+,Processor,B,1,2,NQ,408.0,408.0,408,NQ,741.8,741.8,741.8,1672.8,1672.8,1672.800048828125
