Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 15/10/2024
Comparison Date: 08/10/2024
Total Yarding: 2300 (+200)
Commentary
"Numbers increased again on the back of the bigger yarding a week ago, reaching 2300 head. Cows made up about a third of the offering, with the balance a mixed run of export steers, grown heifers and younger trade types. The regular buyers which have been active at Shepparton recently were back at the rail, but bidding was weaker and more selective across all grades. The lead of the heavy beef cows were 15c to 20c/kg cheaper while the dairy run gave back 25c to 30c/kg. The grown heifer sections showed a similar price decline. In the grown steers the feature pens of well-bred and finished Angus, Speckle Park and Euro cross sold at close to similar levels, however once off the top prices were cheaper with age, horns and quality all factors in price outcomes.

The heaviest beef cows with weight and showing plenty of fat cover sold from 290c to a top of 315c/kg however  there was only a couple of processors which seemed comfortable chasing the best pens above 300c. Beef cows with not quite as much carcass finish, in fat score 3 condition, ranged from 260c to 302c to average 281c/kg.  Plainer beef cows 230c to 260c/kg. In the dairy cow run a few pens of fresh conditioned Friesians sold from 260c to 285c. The bulk of the Friesian cows with less fat cover from 210c to 255/kg, with the plainest dairy cows down to 150c at times. Bidding was selective over the manufacturing steers, the heavier Friesians ranging from 241c to a top of 300c/kg.

There was some quality grown steers presented and the best pens were close to firm reaching 378c/kg, but the overall average was 10c off as buyers picked through at 311c to 360c/kg for most. Grown heifers faced a tougher market loosing up to 30c at 255c to 325c/kg as they were dragged back into the realm of cow money.

The trade run was very mixed for quality and breed type. The best of the yearling type steers and heifers displaying shape and high carcass yields sold from 340c to 380c/kg, behind the market peak of 405c a week ago. After this demand was selective on the general run of young steers and heifers which sold from 260c to 330c/kg to a mix of processors, feeders and restockers.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,5,NQ,290.0,290.0,290,NQ,557.7,568.6,559.9,957.0,957.0,957
Yearling Steer,280-330,Restocker,D,2,8,NQ,255.0,269.6,262.3000030517578,NQ,490.4,539.2,514.8,808.8,841.5,825.1499938964844
Yearling Steer,330-400,Feeder,C,2,6,-16,350.0,350.0,350,35.0,648.1,648.1,648.1,1347.5,1347.5,1347.5
Yearling Steer,330-400,Processor,C,3,17,10,310.0,355.0,335.5764734604779,-64.4,574.1,645.5,620.0,1085.0,1420.0,1274.777645335478
Yearling Steer,330-400,Restocker,C,2,10,-10,302.6,340.0,324.14000549316404,-0.9,581.9,641.5,612.7,1074.2,1309.0,1200.28701171875
Yearling Steer,330-400,Restocker,D,2,11,NQ,241.6,280.0,265.81819291548294,NQ,483.2,548.2,523.7,821.4,1008.0,898.1971102627841
