Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 19/11/2024
Comparison Date: 
Total Yarding: 2200 (NQ)
Commentary
"The numbers jumped as both greater through put of both trade and export cattle were offered. Although there were scattered storms and some significant rainfall in some areas over the weekend, it failed to holt the turn off of unfinished, mixed breed yearlings and vealers. There was the odd pen of supplementary fed yearlings but processes struggled to fill orders. Prices across all grades of stock took on a cheaper trend. There were fewer export buyers and good quality lines of grown steers and bullocks met falls of 15c to 20c/kg. The cows also declined by 5c to 18c/kg. 

The vealers ranged from 280c to a top of 380c/kg. The plainer yearling steers attracted interest from numerous local feeders and store buyers. The yearling steers C muscled made from 285c to 365c/kg. The yearling heifer portion made from 250c to 345c/kg. A large majority of the trade went back to processors, feedlotters or store buyers. 

The medium weighted grown steers made from 282 to 337c/kg. The 500 to 600kg steers C muscled made from 263c to 345c/kg, to averaged 313c/kg. The bullocks over 600kg lwt made from 312c to 339c/kg. The dairy cows ranged from 180c to 258c/kg. The bulk of the beef cows made from 262 to 285c/kg, while the dairy portion ranged from 180c to 258c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,1,26,NQ,239.0,239.0,239,NQ,497.9,497.9,497.9,621.4,621.4,621.4000150240385
Yearling Steer,280-330,Feeder,C,1,34,NQ,285.0,314.0,301.7647058823529,NQ,558.8,603.8,583.5,897.8,989.1,950.5588235294117
Yearling Steer,330-400,Processor,B,2,8,1,350.0,350.0,350,-25.0,636.4,636.4,636.4,1400.0,1400.0,1400
Yearling Steer,330-400,Processor,B,3,1,NQ,385.0,385.0,385,NQ,713.0,713.0,713.0,1443.8,1443.8,1443.75
Yearling Steer,330-400,Processor,C,2,24,22,311.0,360.0,335.2083333333333,15.2,594.3,679.2,634.8,1088.5,1404.0,1236.8416748046875
Yearling Steer,330-400,Processor,C,3,38,33,310.0,335.0,330.2894736842105,-15.1,584.9,626.4,616.8,1085.0,1336.7,1272.9039756373356
Yearling Steer,330-400,Restocker,C,1,14,12,280.0,309.0,292.2857142857143,-55.7,538.5,605.9,566.2,966.0,1081.5,1007.7107282366071
Yearling Steer,330-400,Restocker,C,2,14,NQ,290.0,315.0,297.85714285714283,NQ,557.7,594.3,571.2,1015.0,1181.3,1053.75
Yearling Steer,330-400,Restocker,D,1,13,-19,254.0,277.0,262.84615384615387,10.0,508.0,543.1,521.5,876.3,1038.8,938.78076171875
Yearling Steer,330-400,Restocker,D,2,10,NQ,271.0,271.0,271,NQ,531.4,531.4,531.4,935.0,935.0,934.95
Yearling Steer,400+,Feeder,C,2,10,NQ,315.0,315.0,315,NQ,594.3,594.3,594.3,1338.8,1338.8,1338.75
Yearling Steer,400+,Processor,B,1,2,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1411.0,1411.0,1411
