Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 21/01/2025
Comparison Date: 
Total Yarding: 2100 (NQ)
Commentary
"There were 1440 exports of that 820 cows and 735 trade cattle were penned. The beef cows had plenty of weight and condition. There were fewer good quality grown steers about this week. Feedlotter and store buyers although still very present throughout the sale were not as fierce this week resulting in prices coming back. 

The majority of buyers were at the rails but several exporters were not operating. Overall, prices came back across all export categories, the trade cattle had mixed results. The best of the finished young cattle going to processors remained firm, while plainer young cattle were all back 10c to 30c/kg.

There were larger lines of slightly under done and Euro cross cattle yarded. The best of the vealers made to 379c/kg. The yearling steers to the trade made from 330c to 370c/kg to average 336c/kg. Feeder steers made from 300c to 350c/kg. The yearling heifers to the trade made from 280c to 360c/kg. The plainer store cattle were 6c to 30c/kg cheaper.

Friesian steers made from 270c to 310c/kg. The 500 to 600kg steers ranged from 312/kg to 358c/kg, which was down 13c to 20c/kg. The 600kg plus bullocks  made from 315c to 357c/kg, which was 10c to 20c/kg cheaper. The heavy beef cows were 7c to 18c/kg lower and made from 267c to 308c/kg to av 298c/kg for the D4’s. Heavy Dairy cows ranged from 240c to 277c/kg, also selling at lower rates to last sale."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,2,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,990.0,990.0,990
Yearling Steer,280-330,Restocker,D,1,12,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,942.5,942.5,942.5
Yearling Steer,330-400,Feeder,C,1,7,4,310.0,350.0,338.57142857142856,5.6,607.8,673.1,654.4,1100.5,1400.0,1314.4285714285713
Yearling Steer,330-400,Feeder,C,2,22,-9,300.0,335.0,323.6363636363636,-7.2,576.9,644.2,622.4,1005.0,1222.8,1160.6818181818182
Yearling Steer,330-400,Processor,C,2,8,2,330.0,350.0,342.5,12.5,622.6,660.4,646.2,1171.5,1277.5,1241.875
Yearling Steer,330-400,Processor,C,3,13,8,350.0,365.0,352.3076923076923,12.3,657.4,688.7,661.9,1366.8,1460.0,1384.826923076923
Yearling Steer,330-400,Restocker,D,1,5,-18,280.0,280.0,280,-14.3,549.0,549.0,549.0,1050.0,1050.0,1050
Yearling Steer,400+,Feeder,C,2,9,-1,320.0,352.0,337.77777777777777,-14.2,615.4,664.2,642.5,1296.0,1425.6,1368
Yearling Steer,400+,Processor,B,1,7,NQ,370.0,370.0,370,NQ,660.7,660.7,660.7,1572.5,1572.5,1572.5
Yearling Steer,400+,Processor,C,3,15,6,330.0,350.0,335.53333333333336,-18.0,622.2,648.1,628.3,1353.0,1495.2,1438.3233072916667
Yearling Heifer,280-330,Feeder,D,2,2,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,780.0,780.0,780
