Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 22/10/2024
Comparison Date: Date not set
Total Yarding: 4000 (NQ)
Commentary
"There were 1870 cattle offered at Shepparton, of that 1300 export and 570 were trade cattle. The majority of buyers were present. There were fewer bullocks over 600kg liveweight. The trade cattle were of mixed quality, as both supplementary fed finished cattle and store lines were on offer. 

Store buyers were more subdued. Some cattle clearly showing the affects of the drier spring conditions. The yearling steers ranged from 310c to a top of 392c/kg to average 343c/kg. The yearling heifers made from 280c to 385c/kg to av 325c/kg lwt. 

Finished Freisian steers made to 290c/kg. The 500 to 600kg grown steers C3 and C4 made from 300c to 352c/kg, while the 600kg plus bullocks reached 365c/kg. There were fewer cows about and dairy cows ranged from 218c to 280c/kg to average 244c/kg. The beef cattle made from 244c to 310c/kg with the majority selling around 285c/kg."
"There were 1870 cattle offered at Shepparton, of that 1300 export and 570 were trade cattle. The majority of buyers were present. There were fewer bullocks over 600kg liveweight. The trade cattle were of mixed quality, as both supplementary fed finished cattle and store lines were on offer. 

Some cattle clearly showing the affects of the drier spring conditions. The yearling steers ranged from 310c to a top of 392c/kg to average 343c/kg. The yearling heifers made from 280c to 385c/kg to av 325c/kg lwt. 

Finished Freisian steers made to 290c/kg. The 500 to 600kg grown steers C3 and C4 made from 300c to 352c/kg, while the 600kg plus bullocks reached 365c/kg. There were fewer cows about and dairy cows ranged from 218c to 280c/kg to average 244c/kg. The beef cattle made from 244c to 310c/kg with the majority selling around 285c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,1,18,9,220.0,220.0,220,NC,458.3,458.3,458.3,583.0,583.0,583
Yearling Steer,330-400,Feeder,C,1,52,26,310.0,333.0,315.3076923076923,NC,596.2,640.4,606.4,1193.5,1315.3,1221.6192157451924
Yearling Steer,330-400,Processor,B,1,4,2,340.0,340.0,340,NC,618.2,618.2,618.2,1309.0,1309.0,1309
Yearling Steer,330-400,Processor,B,2,6,3,370.0,370.0,370,NC,660.7,660.7,660.7,1424.5,1424.5,1424.5
Yearling Steer,330-400,Processor,C,1,4,2,316.0,316.0,316,NC,607.7,607.7,607.7,1185.0,1185.0,1185
Yearling Steer,330-400,Processor,C,3,54,10,320.0,384.0,342.3703703703704,2.6,603.8,711.1,642.5,1200.0,1478.4,1312.644445348669
