Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 26/11/2024
Comparison Date: 19/11/2024
Total Yarding: 1910 (-290)
Commentary
"There were 1325 exports and 495 trade cattle, within the exports were 600 cows. There were more well covered bullocks and heavy beef cows offered. A few export buyers still remain absent. However there was some pricing upside on the finished better quality grown steers and bullocks, unfortunately the cows failed to follow suit and were 5c to 9c/kg cheaper. 

The trade cattle quality deteriorated, as greater numbers of cross bred store conditioned lots were yarded. The very best of the vealers and yearlings which were in limited supply sold at dearer rates but buyers were selective. The plainer quality young cattle sold at discounted rates.

There were greater numbers of vealers throughout the yards,  with the best end making from 290c to 375c/kg. The yearling steers C3 and C4 ranged from 290c to 362c/kg. The yearling heifer portion made from 270c to 330c/kg, while the store heifers made from 250c to 310c/kg.

Freisan steer numbers were limited and made from 244c to 275c/kg. The 400 to 500kg C3 and C4 steers made from 270c to 333c/kg, the 500 to 600kg steers ranged from 295c to 350c/kg and the 600kg plus steers made from 290c to 330c/kg to average 319c/kg all of which took on a stronger tone than last weeks sale, quality and weight being a factor.

The dairy cow numbers dropped away and heavy Friesian cows made from 210c to 255c/kg. The beef cows over 520kg made from 240c to 280c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,1,8,NQ,290.0,290.0,290,NQ,568.6,568.6,568.6,855.5,855.5,855.5
Yearling Steer,280-330,Restocker,C,1,13,NQ,266.0,320.0,315.84615384615387,NQ,501.9,615.4,606.7,758.1,1056.0,1033.0846135066106
Yearling Steer,330-400,Dairy,D,1,13,NQ,216.0,216.0,216,NQ,450.0,450.0,450.0,756.0,756.0,756
Yearling Steer,330-400,Feeder,C,1,2,NQ,321.0,321.0,321,NQ,617.3,617.3,617.3,1171.7,1171.7,1171.6500244140625
Yearling Steer,330-400,Processor,B,2,1,-7,362.0,362.0,362,12.0,635.1,635.1,635.1,1444.4,1444.4,1444.3800048828125
Yearling Steer,330-400,Processor,C,2,13,-11,290.0,350.0,313.0769230769231,-22.1,557.7,660.4,596.4,1087.5,1312.5,1169.1153846153845
Yearling Steer,330-400,Restocker,C,1,12,-2,270.0,300.0,275,-17.3,519.2,576.9,528.8,958.5,1095.0,981.25
Yearling Steer,330-400,Restocker,C,2,7,-7,280.0,285.0,281.42857142857144,-16.4,538.5,548.1,541.2,994.0,997.5,995
Yearling Steer,330-400,Restocker,D,1,16,3,277.0,277.0,277,14.2,554.0,554.0,554.0,955.7,955.7,955.6500244140625
Yearling Steer,400+,Processor,B,2,2,-3,335.0,345.0,340,-10.0,609.1,627.3,618.2,1490.8,1552.5,1521.625
Yearling Steer,400+,Processor,C,2,15,10,315.0,315.0,315,-5.0,605.8,605.8,605.8,1732.5,1732.5,1732.5
Yearling Steer,400+,Processor,C,3,33,31,295.0,360.0,327.57575757575756,7.6,556.6,666.7,607.9,1348.5,1674.0,1495.8636363636363
Yearling Steer,400+,Processor,C,4,9,NQ,325.0,325.0,325,NQ,601.9,601.9,601.9,1576.3,1576.3,1576.25
Yearling Heifer,280-330,Restocker,D,1,14,12,245.0,250.0,246.78571428571428,27.8,480.4,500.0,487.4,722.8,825.0,759.2678571428571
Yearling Heifer,330-400,Feeder,C,1,15,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,966.0,966.0,966
Yearling Heifer,330-400,Feeder,C,2,13,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1100.5,1100.5,1100.5
