Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 29/10/2024
Comparison Date: 22/10/2024
Total Yarding: 1800 (-200)
Commentary
"The numbers were back slightly, however the quality of the export run improved significantly as greater numbers of finished heavy bullocks were offered. There were 1300 exports and 565 trade cattle penned. Returning export operators kept the bidding spirited and prices for the majority of the heavy cattle showed a firm to dearer trend. 

The trade cattle were a mix of both finished and under done types. Feedlotters and store buyers picked through the offering. The best of the vealers made to 387c/kg. The yearling steers to the trade ranged from 325c to 370c/kg. The yearling heifer portion made from 265c to 345c/kg to average 326c/kg. 

The 500 to 600kg steers attracted both the feedlotter and processor interest and prices strengthened for the better bred and finished lines. The C3 and C4’s made from 305c to 370c/kg, while the heavy bullocks over 600kg, with several lots well over the 700kg mark, making from 280c to 370c/kg, with the majority around 340c/kg. The grown heifers reached 344c/kg. There were greater numbers of Friesian steers and the heavier end made from 254c to 301c/kg. Heavy beef cows made from 280c to 298c/kg. The dairy portion ranged from 235c to 266c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,1,5,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,741.0,741.0,741
Yearling Steer,280-330,Restocker,D,1,6,NQ,230.0,230.0,230,NQ,469.4,469.4,469.4,747.5,747.5,747.5
Yearling Steer,330-400,Feeder,C,2,26,NQ,332.0,369.0,345.84615384615387,NQ,638.5,709.6,661.3,1173.0,1383.8,1240
Yearling Steer,330-400,Feeder,C,3,25,NQ,339.0,340.0,339.32,NQ,639.6,641.5,640.2,1305.2,1343.0,1317.26203125
Yearling Steer,330-400,Processor,B,2,4,1,358.0,370.0,364,-6.0,650.9,672.7,661.8,1378.3,1424.5,1401.4000244140625
Yearling Steer,330-400,Processor,C,3,19,-8,330.0,334.0,330.8421052631579,-11.5,622.6,630.2,624.2,1185.7,1270.5,1252.6473581414473
Yearling Steer,330-400,Restocker,C,1,13,-5,280.0,310.0,300.7692307692308,6.8,538.5,596.2,578.4,980.0,1085.0,1052.6923076923076
Yearling Steer,400+,Feeder,C,1,2,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1203.5,1203.5,1203.5
Yearling Steer,400+,Processor,B,2,4,NQ,355.0,355.0,355,NQ,657.4,657.4,657.4,1615.3,1615.3,1615.25
Yearling Steer,400+,Processor,C,2,3,2,345.0,345.0,345,45.0,650.9,650.9,650.9,1500.8,1500.8,1500.75
Yearling Steer,400+,Processor,C,3,22,-6,325.0,370.0,344.5,1.2,601.9,685.2,638.0,1474.7,1646.5,1552.9023104580965
Yearling Heifer,280-330,Dairy,D,1,10,NQ,230.0,230.0,230,NQ,469.4,469.4,469.4,724.5,724.5,724.5
Yearling Heifer,280-330,Processor,C,2,3,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,792.3,792.3,792.2999674479166
