Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 01/07/2024
Comparison Date: 
Total Yarding: 1100 (NQ)
Commentary
"With a rain event over the weekend and the start of a new financial year the numbers fell by 50%. Young cattle and cows were well supplied along with a few grown steers and heifers. The quality and condition of the offering was fair to good with all buyers catered for. The full field of regular buyers were in attendance.

Restockers participated strongly in the light weight classes through the young cattle. Weaners were keenly sought and posted strong gains in a much improved market trend. Yearlings steers saw little but quality related price change with the market trend generally unchanged. Medium weight yearling heifers to feed sold on a firm to slightly dearer trend while heavy weights attracted strong competition from feedlots to post good improvement. There was little in the way of domestic trade competition with too few suitable.

Processor demand for well finished grown cattle was strong resulting in dearer trends for both the steers and heifers while those suitable to feed were also keenly sought. The biggest improvement in the market was for cows where trends were as much as 40c/kg dearer in places. Most improvement however was in the range of 20c to 30c on the well finished lines."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,18,-12,324.0,362.0,357.44444444444446,11.2,623.1,696.2,687.4,874.8,990.0,915.8111097547743
Yearling Steer,200-280,Restocker,D,2,10,NQ,174.0,220.0,197.2,NQ,348.0,440.0,394.4,478.5,594.0,537.9
Yearling Steer,280-330,Feeder,C,2,5,-102,330.0,330.0,330,-2.1,634.6,634.6,634.6,1089.0,1089.0,1089
Yearling Steer,280-330,Restocker,C,2,21,-24,325.0,390.0,360.3333333333333,49.4,625.0,750.0,692.9,1007.5,1287.0,1165.328590029762
Yearling Steer,330-400,Feeder,C,2,108,-24,320.0,392.0,375.72222222222223,5.0,615.4,753.8,722.5,1104.0,1436.4,1319.7944290726273
Yearling Steer,330-400,Processor,C,3,1,NQ,298.0,298.0,298,NQ,573.1,573.1,573.1,1132.4,1132.4,1132.4000244140625
Yearling Steer,330-400,Restocker,C,2,45,5,256.0,395.0,356.97777777777776,-22.1,492.3,759.6,686.5,896.0,1384.5,1244.5488932291667
Yearling Steer,400+,Feeder,C,2,16,-4,320.0,378.0,344.75,-5.0,615.4,726.9,663.0,1470.0,1701.0,1504.8875122070312
Yearling Steer,400+,Feeder,C,3,2,-6,330.0,370.0,350,23.4,611.1,685.2,648.1,1517.0,1650.0,1583.5
Yearling Steer,400+,Processor,C,3,5,-2,330.0,395.0,376.6,110.9,611.1,731.5,697.4,1452.0,1915.8,1763.689990234375
Yearling Heifer,280-330,Processor,C,2,1,-2,250.0,250.0,250,5.0,480.8,480.8,480.8,825.0,825.0,825
Yearling Heifer,280-330,Processor,C,3,1,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,957.0,957.0,957
Yearling Heifer,280-330,Restocker,C,2,43,15,274.0,310.0,294.3720930232558,30.3,526.9,596.2,566.1,822.0,992.0,928.1116347202035
