Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 06/05/2024
Comparison Date: 29/04/2024
Total Yarding: 1780 (-195)
Commentary
"There was a small reduction in supply however the overall quality of the penning showed a vast improvement. This was particularly evident in the heavy grown cattle. Young cattle were also well supplied with some high quality heavy weight weaners penned. Not all regular restocker and feedlot orders were in place. Most regular processors were in attendance along with an extra order operating on heavy cattle.

Firm to dearer trends through the weaner steers to restock with some quality related price change. The heifer portion saw a slightly dearer trend. There was not a lot of change in trends for medium and heavy weight yearling steers to restock and feed with quality accounting for most price change. There were similar trends for the heifer portion with quality variation also accounting for price changes.

The quality of the heavy grown steers to process stood out while processors competed strongly. Prices showed strong improvement while quality showed little similarity to the small number last week. The well finished grown heifers sold to dearer trends in line with a quality improvement. Competition was strong in the cow market particularly the well finished cows showing high yield potential. A combination of factors contributed to significant price improvement on a firm to dearer market trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,2,NQ,296.0,296.0,296,NQ,569.2,569.2,569.2,784.4,784.4,784.4000244140625
Yearling Steer,200-280,Restocker,D,2,3,-10,294.0,294.0,294,92.0,588.0,588.0,588.0,764.4,764.4,764.4000651041666
Yearling Steer,280-330,Restocker,C,2,19,-29,258.0,349.0,321.1578947368421,9.1,496.2,671.2,617.6,735.3,1047.0,971.6368408203125
Yearling Steer,330-400,Feeder,C,2,97,37,292.0,367.0,343.69072164948454,10.3,561.5,705.8,660.9,992.8,1440.0,1326.9159602528996
Yearling Steer,330-400,Restocker,C,2,28,-8,274.0,340.0,317.64285714285717,-12.0,526.9,653.8,610.9,931.6,1222.5,1124.296421595982
Yearling Steer,330-400,Restocker,C,3,8,NQ,336.0,336.0,336,NQ,622.2,622.2,622.2,1243.2,1243.2,1243.199951171875
Yearling Steer,400+,Feeder,C,2,202,87,265.0,370.0,347.7920792079208,9.9,509.6,711.5,667.8,1139.5,1673.3,1517.0435742670948
Yearling Steer,400+,Feeder,C,3,23,-14,320.0,344.0,338.7826086956522,41.4,592.6,637.0,627.4,1600.0,1668.4,1653.5304857336957
Yearling Steer,400+,Processor,C,3,3,-16,328.0,328.0,328,38.3,607.4,607.4,607.4,1590.8,1590.8,1590.8001302083333
Yearling Steer,400+,Restocker,C,2,6,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,1226.4,1226.4,1226.4000651041667
Yearling Heifer,280-330,Restocker,C,2,82,66,280.0,316.0,298.3658536585366,31.7,538.5,607.7,573.8,798.0,1011.2,918.724395007622
Yearling Heifer,330-400,Feeder,C,2,69,-56,305.0,321.0,315,4.7,586.5,617.3,605.8,1054.0,1174.3,1103.5688405797102
Yearling Heifer,330-400,Feeder,C,3,29,11,286.0,336.0,311.2413793103448,-5.6,550.0,646.2,598.5,1102.0,1344.0,1228.9655172413793
