Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 08/07/2024
Comparison Date: 01/07/2024
Total Yarding: 1948 (+848)
Commentary
"Tamworth offered 1948 mixed cattle which included an increase in the cow penning. The usual buyers attended plus an extra cow buyer. This resulted in much dearer trends for the cow product. Apart from the odd sale of plainer cattle being cheaper the trends for most other categories sold to a dearer market for feeders and backgrounders alike.

Sales for weaner steers were much dearer restockers paying up to 400c/kg with similar interest for the heifer drafts 273c to 314c/kg. Sales for light yearling feeder steers were considerably dearer however light background categories lost ground to be much cheaper selling to 262c/kg. A large portion of the medium weight steers gained 8c/kg while a similar number of backgrounders slipped substantially 320c to 360c/kg. Heavy yearling steers to feed on sold to 20c/kg dearer while processors pushed heavy steers to 366c/kg. Light background heifers were significantly dearer and the medium weights to feed improved 8c/kg. A draft of PTIC heifers sold 286c to 320c/kg.

Heavy grown steers were much dearer as were the heifers up 8c/kg ranging 263c to 310c/kg. The cow market very strong with medium cows 170c to 239c/kg. The heavy cows over 40c/kg dearer in places 249c to 280c/kg. The best bulls also dearer up to 23c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,8,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,560.0,560.0,560
Yearling Steer,200-280,Feeder,C,2,6,NQ,375.0,375.0,375,NQ,694.4,694.4,694.4,1012.5,1012.5,1012.5
Yearling Steer,200-280,Restocker,C,2,10,-8,262.0,262.0,262,-95.4,485.2,485.2,485.2,655.0,655.0,655
Yearling Steer,280-330,Feeder,C,2,30,25,272.0,342.0,320.26666666666665,-9.7,503.7,633.3,593.1,870.0,1128.6,1019.3933146158854
Yearling Steer,330-400,Feeder,C,2,105,-3,258.0,398.0,379.1047619047619,3.4,477.8,737.0,702.0,910.0,1493.4,1375.8743431454614
Yearling Steer,330-400,Processor,D,2,3,NQ,198.0,198.0,198,NQ,373.6,373.6,373.6,792.0,792.0,792
Yearling Steer,330-400,Restocker,C,2,8,-37,320.0,360.0,339.375,-17.6,592.6,666.7,628.5,1088.0,1296.0,1162.875
Yearling Steer,400+,Feeder,C,2,66,50,294.0,387.0,350.469696969697,5.7,544.4,716.7,649.0,1518.0,2167.2,1732.5514766808712
Yearling Steer,400+,Feeder,C,3,14,12,332.0,366.0,346.57142857142856,-3.4,614.8,677.8,641.8,1992.0,2013.0,2001
Yearling Steer,400+,Processor,C,2,8,NQ,260.0,341.0,330.75,NQ,500.0,631.5,614.8,1170.0,1632.0,1526.699951171875
Yearling Steer,400+,Processor,C,3,11,6,280.0,347.0,340.90909090909093,-35.7,538.5,642.6,633.1,1680.0,2082.0,2045.4545454545455
Yearling Steer,400+,Processor,D,2,7,NQ,198.0,198.0,198,NQ,366.7,366.7,366.7,831.6,831.6,831.5999581473214
Yearling Heifer,200-280,Feeder,C,2,36,NQ,226.0,298.0,284.6388888888889,NQ,426.4,562.3,537.1,542.4,834.4,767.888902452257
Yearling Heifer,200-280,Restocker,C,2,20,NQ,272.0,274.0,273,NQ,513.2,517.0,515.1,680.0,767.2,723.6
Yearling Heifer,280-330,Feeder,C,2,35,NQ,218.0,322.0,274.34285714285716,NQ,411.3,607.5,517.6,704.0,1062.6,895.1314034598214
Yearling Heifer,280-330,Restocker,C,2,23,-20,270.0,296.0,282.95652173913044,-11.4,509.4,558.5,533.9,864.0,897.6,884.2434612771739
Yearling Heifer,330-400,Feeder,C,2,237,211,240.0,350.0,327.9915611814346,18.6,452.8,660.4,618.9,840.0,1384.0,1189.031254120517
Yearling Heifer,330-400,Processor,C,2,24,NQ,235.0,330.0,260.375,NQ,451.9,622.6,493.1,868.0,1221.0,945.25
Yearling Heifer,330-400,Restocker,C,2,9,5,262.0,280.0,278,16.0,494.3,528.3,524.5,890.8,1036.0,1019.8666653103298
Yearling Heifer,400+,Feeder,C,2,21,-28,265.0,332.0,320.2857142857143,-21.1,500.0,626.4,604.3,1113.0,1427.6,1396.3047805059523
Yearling Heifer,400+,Feeder,C,3,9,-22,285.0,335.0,321.55555555555554,-28.0,537.7,632.1,606.7,1507.2,1876.0,1766.4666612413193
Yearling Heifer,400+,Processor,C,2,5,NQ,265.0,290.0,270,NQ,500.0,547.2,509.4,1218.0,1378.0,1346
Yearling Heifer,400+,Processor,C,3,1,NQ,281.0,281.0,281,NQ,530.2,530.2,530.2,1517.4,1517.4,1517.4000244140625
Yearling Heifer,400+,Processor,C,4,3,NQ,312.0,312.0,312,NQ,588.7,588.7,588.7,1872.0,1872.0,1872
Yearling Heifer,400+,PTIC,C,2,56,NQ,286.0,320.0,293.2857142857143,NQ,539.6,603.8,553.4,1601.6,1728.0,1628.6856863839287
