Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 09/09/2024
Comparison Date: 
Total Yarding: 1925 (NQ)
Commentary
"Female cattle once again dominated supply in an increased penning. Young cattle and cows were well supplied along with a large supply of bulls. There were limited numbers of export cattle. The quality of the offering was very mixed however there were some good lines of quality restocker and feeder cattle penned. The condition of the offering varied greatly through all categories. There was a little extra feedlot competition while all the regular buyers were in attendance.

There were varying trends through the young cattle with the light weight restocker steers selling on a firm to slightly cheaper trend for the most part. Medium weight feeder steers sold to a dearer trend while those returning to paddocks were cheaper. The heavy weight feeder steers saw a generally firm market trend while breed and quality affected average prices. Light weight yearling heifers experienced little but breed and quality related price change. Medium and heavy weights sold to cheaper trends of 11c to 15c/kg under weaker demand and quality related change.

The small number of heavy grown steers bought by processors experienced little change. The well finished grown heifers saw trends cheaper by 10c to 20c/kg. There was an easing in the cow market with the overall quality not as good as recent weeks. The heavy weight cows saw a trend 10c to 14c cheaper with the medium weight less affected. A very strong bull market saw all weight classes sell to dearer trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,16,12,367.0,394.0,377.125,39.1,705.8,757.7,725.2,990.9,1083.5,1025.625
Yearling Steer,280-330,Feeder,C,2,10,2,360.0,360.0,360,-10.0,692.3,692.3,692.3,1188.0,1188.0,1188
Yearling Steer,280-330,Restocker,C,2,29,-15,355.0,390.0,375.7931034482759,-3.1,682.7,750.0,722.7,1164.0,1209.0,1181.4137931034484
Yearling Steer,330-400,Feeder,C,2,154,92,334.0,412.0,390.9025974025974,20.4,642.3,792.3,751.7,1183.2,1566.9,1446.8256185952719
Yearling Steer,330-400,Processor,C,3,1,NC,372.0,372.0,372,12.0,688.9,688.9,688.9,1488.0,1488.0,1488
Yearling Steer,330-400,Restocker,C,2,55,-5,300.0,380.0,357.1272727272727,-52.4,576.9,730.8,686.8,1139.0,1332.0,1239.5781693892045
Yearling Steer,400+,Feeder,C,2,130,82,320.0,410.0,383.0692307692308,14.0,615.4,788.5,736.7,1312.0,1754.4,1648.9646334134616
Yearling Steer,400+,Feeder,C,3,47,-59,320.0,407.0,375.51063829787233,-20.4,592.6,753.7,695.4,1552.0,2019.3,1795.085137549867
Yearling Steer,400+,Processor,C,3,13,9,345.0,400.0,361.61538461538464,-23.9,638.9,740.7,669.7,1665.0,1879.2,1735.6461463341345
Yearling Heifer,200-280,Restocker,C,2,38,25,296.0,342.0,309.89473684210526,-9.6,569.2,657.7,596.0,789.7,940.5,833.7526341488486
Yearling Heifer,200-280,Restocker,D,2,25,NQ,280.0,308.0,297.92,NQ,560.0,616.0,595.8,630.0,739.2,699.8880078125
Yearling Heifer,280-330,Feeder,C,2,40,35,332.0,366.0,357.7,9.7,638.5,703.8,687.9,1079.0,1207.8,1172.5900390625
