Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 13/05/2024
Comparison Date: 
Total Yarding: 1475 (NQ)
Commentary
"Tamworth penned 1475  good quality cattle which included a very good penning of feeder steers and processor cows. The regular buyers attended and operated to a generally dearer market.

Weaner cattle sold to a dearer result steers 322c to 402c/kg and heifers to 326c/kg all to restockers. Light steers to feed on 284c to 372c/kg backgrounders 260c to 358c/kg. Medium feeders were significantly dearer as well as heavy steers. Heifers sold to similar trends the light drafts to feed 296c to 342c/kg the background heifers following suit. Medium weight feeder heifers were dearer selling up to 20c/kg better. Heavy heifers sold to 270c/kg.

Not many heavy grown steers to quote the heifer portion selling 230c to 290c/kg. All cow categories sold strongly with the heavy drafts 15c to 20c/kg better the heavy cows making to 249c/kg.

Stephen  Adams   MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,4,NQ,338.2,355.0,346.6000061035156,NQ,626.3,657.4,641.9,887.5,947.0,917.2300109863281
Yearling Steer,280-330,Feeder,C,2,103,NQ,284.2,372.2,349.8699180825243,NQ,526.3,689.3,647.9,937.9,1228.3,1114.1594570122877
Yearling Steer,280-330,Processor,C,2,1,NQ,292.2,292.2,292.20001220703125,NQ,541.1,541.1,541.1,847.4,847.4,847.3800048828125
Yearling Steer,280-330,Processor,C,3,4,NQ,340.0,356.2,352.1500244140625,NQ,629.6,659.6,652.1,1088.0,1175.5,1153.5950927734375
Yearling Steer,280-330,Restocker,C,2,28,9,260.2,358.2,321.41429574149,0.3,481.9,663.3,595.2,780.6,1074.6,1002.152121407645
Yearling Steer,330-400,Feeder,C,2,146,49,320.0,376.2,361.328775902317,17.6,592.6,696.7,669.1,1088.0,1504.8,1364.8671532199808
Yearling Steer,330-400,Processor,C,3,6,NQ,320.0,340.2,336.8333333333333,NQ,592.6,630.0,623.8,1152.0,1156.7,1155.9000651041667
Yearling Steer,330-400,Restocker,C,2,16,-12,340.0,345.2,344.2250061035156,26.6,629.6,639.3,637.5,1156.0,1173.7,1170.3650512695312
Yearling Steer,400+,Feeder,C,2,27,-175,280.0,352.0,346.2444480613426,-1.5,528.3,651.9,641.9,1478.4,1624.0,1491.2807798032406
Yearling Steer,400+,Processor,C,2,1,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,1320.0,1320.0,1320
Yearling Steer,400+,Processor,C,3,4,1,270.0,288.0,274.5,-53.5,500.0,543.4,510.8,1512.0,1612.8,1537.2000122070312
Yearling Heifer,200-280,Feeder,C,2,34,NQ,314.2,328.2,318.0823579676011,NQ,592.8,619.2,600.2,848.3,899.4,871.9917710248162
Yearling Heifer,200-280,Processor,C,3,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,832.0,832.0,832
Yearling Heifer,200-280,Processor,D,2,10,NQ,220.2,220.2,220.2,NQ,415.5,415.5,415.5,594.5,594.5,594.539990234375
Yearling Heifer,200-280,Restocker,C,2,41,NQ,230.2,328.2,299.1756167528106,NQ,434.3,619.2,564.5,575.5,886.1,775.9643911966464
Yearling Heifer,280-330,Feeder,C,2,99,NQ,296.2,342.2,329.2464741408223,NQ,558.9,645.7,621.2,888.6,1129.3,1059.126998747238
Yearling Heifer,280-330,Processor,C,2,1,NQ,344.2,344.2,344.20001220703125,NQ,649.4,649.4,649.4,1101.4,1101.4,1101.43994140625
Yearling Heifer,280-330,Processor,C,3,4,NQ,340.2,340.2,340.20001220703125,NQ,641.9,641.9,641.9,1054.6,1054.6,1054.6199951171875
Yearling Heifer,280-330,Restocker,C,2,23,-59,244.2,328.2,321.6782750668733,23.3,460.8,619.2,606.9,732.6,1083.1,1037.2356646993885
Yearling Heifer,330-400,Feeder,C,2,63,-6,278.2,343.2,332.0825447203621,17.1,524.9,647.5,626.6,1112.8,1184.0,1165.4638846261162
Yearling Heifer,330-400,Processor,C,3,7,-2,334.2,335.2,334.3428693498884,13.0,630.6,632.5,630.8,1173.2,1236.5,1227.4914725167412
Yearling Heifer,400+,Feeder,C,2,1,-8,270.2,270.2,270.20001220703125,-49.6,509.8,509.8,509.8,1351.0,1351.0,1351
Yearling Heifer,400+,Processor,C,2,1,NQ,272.2,272.2,272.20001220703125,NQ,513.6,513.6,513.6,1497.1,1497.1,1497.0999755859375
Vealer Steer,0-200,Restocker,C,2,13,NQ,338.2,366.2,347.43079552283655,NQ,626.3,678.1,643.4,490.3,622.5,584.5984919621394
Vealer Steer,200-280,Feeder,C,2,11,NQ,390.2,390.2,390.2000177556818,NQ,722.6,722.6,722.6,975.5,975.5,975.5
Vealer Steer,200-280,Restocker,C,2,69,30,320.2,400.2,353.40290810405344,-27.9,593.0,741.1,654.4,689.2,1040.5,884.9246490036232
