Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 15/04/2024
Comparison Date: 08/04/2024
Total Yarding: 2725 (+1360)
Commentary
"The numbers more than double in what was a very mixed quality penning. Young cattle were well supplied along with cows. There were limited supplies of well finished heavy grown steers and heifers.The usual processors were in attendance however there were several of the regular restocker and feedlot orders absence.

Demand was weaker through the young cattle to restock and feed with quality also having an impact on the negative market trends. Weaner steers to restockers saw a cheaper trend of 10c/kg and more in places. The heifer weaners lost all of last weeks strong gains to show a cheaper trend of at least 30c/kg. Cheaper trends also for medium and heavy weight yearling feeder steers with the heavy weights least affected. Light weight yearling heifers were much cheaper with most of the plainer quality lines selling for less than 200c/kg. Medium and heavy weight yearling heifers also sold to cheaper trends. It should be noted that selected pens of well bred yearling steers and heifers in the heavy weight classes remained firm.

Heavy grown steers and heifers to process met with weaker demand to sell to cheaper trends. The cow market met with reduced demand from processors and very little restocker competition. As a result trends were 20c to 30c/kg cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,1,NQ,308.0,308.0,308,NQ,592.3,592.3,592.3,985.6,985.6,985.5999755859375
Yearling Steer,280-330,Restocker,C,2,48,16,300.0,346.0,327.6875,10.5,576.9,665.4,630.2,870.0,1141.8,1010.3833058675131
Yearling Steer,330-400,Feeder,C,2,108,38,295.0,345.0,326.0833333333333,-23.5,567.3,663.5,627.1,1050.0,1328.3,1202.5574273003472
Yearling Steer,330-400,Feeder,D,2,9,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,680.0,680.0,680
Yearling Steer,330-400,Restocker,C,2,30,9,330.0,341.0,335.8666666666667,-11.0,634.6,655.8,645.9,1122.0,1190.0,1160.0599934895833
Yearling Steer,400+,Feeder,C,2,233,163,300.0,360.0,339.84978540772534,-9.4,576.9,692.3,653.6,1260.0,1730.0,1531.509447613499
Yearling Steer,400+,Feeder,C,3,19,5,280.0,338.0,308.57894736842104,-45.9,518.5,625.9,571.4,1611.5,1791.4,1656.8684017783717
Yearling Steer,400+,Processor,C,2,1,NQ,332.0,332.0,332,NQ,638.5,638.5,638.5,1494.0,1494.0,1494
Yearling Steer,400+,Processor,C,3,6,-14,280.0,338.0,328.3333333333333,-3.1,518.5,625.9,608.0,1554.8,1736.0,1585
Yearling Steer,400+,Restocker,C,2,5,NQ,252.0,318.0,295.2,NQ,484.6,611.5,567.7,1058.4,1528.8,1382.8800048828125
Yearling Heifer,0-200,Restocker,C,2,7,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,400.0,400.0,400
Yearling Heifer,200-280,Restocker,D,2,10,-8,180.0,180.0,180,-108.0,360.0,360.0,360.0,468.0,468.0,468
Yearling Heifer,280-330,Feeder,C,2,4,-15,276.0,276.0,276,-48.0,530.8,530.8,530.8,828.0,828.0,828
