Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 15/07/2024
Comparison Date: 08/07/2024
Total Yarding: 1625 (-323)
Commentary
"There was a reduction in supply with cows making up a larger percentage of the offering. The quality and condition of the yarding was very mixed and had an impact on average prices in some categories. The usual buyers were in attendance with demand for most classes strong.

Restockers were active through the light weight young cattle with weaner steers selling to a dearer trend, improving by as much as 20c/kg. The heifer portion saw a slightly dearer trend. Lightweight yearling steers to restockers posted strong gains however there was a large quality related price range with buyers prepared to pay for the well finished lines while discounting the secondary and plain quality steers. Medium and heavy weight feeder steers were cheaper with few straight lines available. Quality was also a factor in price change. Well finished young cattle suitable to the trade were scarce with these selling to a much dearer trend. Medium and heavy weight yearling heifers to feed sold to a slightly cheaper trends.

Processor demand for well finished grown cattle was strong with both the heavy weight grown steers and heifers selling to dearer trends, odd sales posting significant improvement. Demand for cows was again high from processors with restockers also active on suitable lines of plain condition cows. The market continued its recent upward surge with the well finished heavy weights as much as 17c/kg dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,25,15,240.0,358.0,329.84,67.8,461.5,688.5,634.3,624.0,966.6,878.867998046875
Yearling Steer,200-280,Restocker,D,2,8,NQ,242.0,242.0,242,NQ,484.0,484.0,484.0,629.2,629.2,629.2000122070312
Yearling Steer,280-330,Feeder,C,2,11,-19,340.0,344.0,341.8181818181818,21.6,653.8,661.5,657.3,1032.0,1122.0,1081.090909090909
Yearling Steer,280-330,Restocker,C,2,47,NQ,230.0,386.0,344.6170212765957,NQ,442.3,742.3,662.7,690.0,1196.6,1062.851048246343
Yearling Steer,330-400,Feeder,C,2,93,-12,328.0,368.0,356.1505376344086,-23.0,630.8,707.7,684.9,1237.3,1372.5,1322.8849336357528
Yearling Steer,330-400,Processor,C,2,2,NQ,354.0,354.0,354,NQ,680.8,680.8,680.8,1274.4,1274.4,1274.4000244140625
Yearling Steer,330-400,Restocker,C,2,16,8,334.0,355.0,347.3125,7.9,642.3,682.7,667.9,1135.6,1278.0,1209.6374816894531
Yearling Steer,400+,Feeder,C,2,61,-5,300.0,360.0,345.7704918032787,-4.7,576.9,692.3,664.1,1291.5,1800.0,1601.1409812051743
Yearling Steer,400+,Feeder,C,3,3,-11,360.0,360.0,360,13.4,666.7,666.7,666.7,1746.0,1746.0,1746
Yearling Steer,400+,Processor,C,3,7,-4,340.0,348.0,341.14285714285717,0.2,629.6,644.4,631.7,1530.0,1948.8,1589.828578404018
Yearling Heifer,200-280,Restocker,C,2,30,10,260.0,310.0,289.3333333333333,16.3,500.0,596.2,556.4,598.0,852.5,773.8166666666667
Yearling Heifer,200-280,Restocker,D,2,29,NQ,220.0,268.0,233.58620689655172,NQ,440.0,536.0,467.2,473.0,696.8,538.7724104256465
