Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 16/09/2024
Comparison Date: 09/09/2024
Total Yarding: 1460 (-465)
Commentary
"Numbers were down in a yarding where female cattle once again dominated supply. The quality of the offering was generally good however there were still some secondary quality cattle penned. The condition varied from fair to very good. All the regular buyers were in attendance.

Straight lines of well bred young cattle garnered more support than the mixed breed pens while the plainer quality lots struggled to gain much support. Light weight yearling steers to restockers sold to dearer trends with the lighter end of the classes showing the greatest improvement. Medium weights to restockers also sold to a dearer trend while those to feed suffered from a reduction in average quality. Heavy weight feeder steers saw little but quality related price change. Yearlings heifers up to 280 kg to restockers sold to a dearer trend. The heavier weight classes saw demand weaken with market trends generally much cheaper.

An improved quality penning of heavy grown steers suitable to processors sold to a dearer trend, the price change boosted by that quality improvement.
Well finished grown heifers to process saw a firm to slightly dearer trend while those to feed also saw improvement.  The cow market experienced dearer trend with the increase only moderate. Light weight bulls were significantly cheaper with quality a factor while the heavy weight meat works bulls sold on a firm to slightly dearer market trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,14,-2,366.0,434.0,397.2857142857143,20.2,703.8,834.6,764.0,915.0,1193.5,1092.064243861607
Yearling Steer,280-330,Feeder,C,2,5,-5,400.0,400.0,400,40.0,769.2,769.2,769.2,1320.0,1320.0,1320
Yearling Steer,280-330,Restocker,C,2,54,25,300.0,436.0,385.81481481481484,10.0,576.9,838.5,742.0,855.0,1326.8,1187.6500176323784
Yearling Steer,330-400,Feeder,C,2,26,-128,300.0,406.0,370.53846153846155,-20.4,576.9,780.8,712.6,1095.0,1624.0,1415.4923095703125
Yearling Steer,330-400,Processor,C,2,2,NQ,306.0,306.0,306,NQ,588.5,588.5,588.5,1071.0,1071.0,1071
Yearling Steer,330-400,Restocker,C,2,39,-16,340.0,414.0,391.53846153846155,34.4,653.8,796.2,753.0,1190.0,1428.3,1362.443616035657
Yearling Steer,400+,Feeder,C,2,53,-77,362.0,409.0,378.33962264150944,-4.7,696.2,786.5,727.6,1486.3,1676.9,1597.6726465765034
Yearling Steer,400+,Feeder,C,3,107,60,350.0,400.0,381.02803738317755,5.5,648.1,742.3,706.4,1548.0,1955.2,1790.2859502774534
Yearling Steer,400+,Processor,C,3,16,3,330.0,370.0,350.25,-11.4,611.1,685.2,648.6,1600.5,1900.8,1809.796875
Yearling Heifer,200-280,Processor,C,2,5,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,812.0,812.0,812
Yearling Heifer,200-280,Restocker,C,2,86,48,306.0,354.0,344.4418604651163,34.5,588.5,680.8,662.4,688.5,955.8,908.8383675508721
Yearling Heifer,200-280,Restocker,D,2,6,-19,250.0,250.0,250,-47.9,500.0,500.0,500.0,700.0,700.0,700
Yearling Heifer,280-330,Feeder,C,2,53,13,318.0,334.0,324.9811320754717,-32.7,611.5,642.3,623.8,951.9,1089.0,1003.9641619988207
Yearling Heifer,280-330,Feeder,C,3,1,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1105.5,1105.5,1105.5
Yearling Heifer,280-330,Processor,C,2,29,19,278.0,294.0,286.3448275862069,-33.7,534.6,565.4,550.7,792.3,963.6,835.4689857219828
