Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 17/03/2025
Comparison Date: 10/03/2025
Total Yarding: 3150 (+1940)
Commentary
"Female cattle dominated supply in a penning that almost tripled in size to last weeks reduced penning. The rainfall not enough to make much difference in what has become a fairly plain season. Of those female cows made up a large proportion. Overall the quality of the offering was mixed with condition also varying. There were limited numbers of well finished young cattle, not many heavy grown steers or heifers. It was a similar buying group to the previous sale.

On the back of a reduction in quality the weaner steers to restock sold to cheaper trends. There was not a lot of change in the heifer portion. Light weight yearling steers in limited supply sold to a dearer trend with a breed and quality related improvement. The medium and heavy weights to restock and feed saw quality related price change for the most part with odd dearer sales in both weight classes.  A generally firm market trend for medium and heavy weight yearling heifers with quality related change within the keenly sought breeds accounting for price change.  Extra competition saw the medium and heavy trade yearlings sell to a dearer trend.

With limited processor competition the well finished grown steers and heifers sold to cheaper trends. The large supply of cows sold to cheaper trends of 10c to 15c/kg on the well finished heavy weights while the plainer conditioned medium weights attracted strong competition to show a firm to slightly dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,22,NQ,350.0,376.0,371.72727272727275,NQ,673.1,723.1,714.9,1110.0,1240.8,1191.3818359375
Yearling Steer,280-330,Restocker,C,2,58,43,330.0,411.0,360.2758620689655,14.3,634.6,790.4,692.8,957.0,1356.3,1148.9086156384699
Yearling Steer,330-400,Feeder,C,2,90,NC,340.0,398.0,375.4555555555556,5.2,653.8,765.4,725.8,1156.0,1512.4,1413.0050021701388
Yearling Steer,330-400,Feeder,D,2,5,NQ,377.0,377.0,377,NQ,754.0,754.0,754.0,1394.9,1394.9,1394.9
Yearling Steer,330-400,Restocker,C,2,89,-15,325.0,415.0,365.4831460674157,-12.1,625.0,798.1,702.9,1137.5,1420.0,1301.0932672050562
Yearling Steer,400+,Feeder,C,2,80,-51,326.0,390.0,364.225,-13.7,626.9,750.0,700.4,1386.0,1813.5,1593.2106338500976
Yearling Steer,400+,Feeder,C,3,4,-17,395.0,395.0,395,28.1,731.5,731.5,731.5,1915.8,1915.8,1915.75
Yearling Steer,400+,Processor,C,3,6,NQ,350.0,368.0,356,NQ,636.4,681.5,651.4,1784.8,1925.0,1878.2666829427083
Yearling Steer,400+,Processor,C,4,1,NQ,355.0,355.0,355,NQ,657.4,657.4,657.4,2165.5,2165.5,2165.5
Yearling Steer,400+,Restocker,C,2,5,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1419.0,1419.0,1419
Yearling Heifer,200-280,Restocker,C,2,8,5,276.0,282.0,279.75,-7.6,530.8,542.3,538.0,690.0,690.9,690.5625
Yearling Heifer,280-330,Feeder,C,2,40,17,290.0,332.0,308.9,-25.8,557.7,638.5,594.0,928.0,1095.6,991.4074829101562
