Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 18/11/2024
Comparison Date: 
Total Yarding: 2630 (NQ)
Commentary
"An influx of heavy weight feeder steers and large runs of well finished heavy weight cows accounted for much of the rise in numbers. Young cattle were well supplied while export processors were also well catered for. Overall the quality and condition of the offering was fair to good however there was a smaller percentage of plainer quality and conditioned cattle. The full field of buyers were in attendance along with an extra export processor. 

The outstanding seasonal conditions contributed to the strong demand from restockers for light weight young cattle. This resulted in dearer trends in both the steers and the heifers with the steer portion showing the greater improvement. There was little change in market trends for the medium and heavy weight yearling steers to restock and feed with some quality related improvement. Heavy trade steers also experienced little change. Medium and heavyweight yearling heifers to feed and to process sold on firm to slightly dearer trends with an isolated sale to the trade showing a significant rise under strong restocker competition.

Well finished heavy grown steers sold to dearer trends under higher demand and strong competition. The well finished grown heifers were also keenly sought to record a moderate improvement. Despite extra competition the cow market saw trends firm to cheaper with the medium weights showing little change while the large numbers of well finished heavy weights contributed to those classes being cheaper. The bull market followed a similar trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,18,-61,391.0,400.0,396.5,92.4,751.9,769.2,762.5,1075.3,1100.0,1090.375
Yearling Steer,200-280,Restocker,D,2,2,NQ,302.0,302.0,302,NQ,604.0,604.0,604.0,830.5,830.5,830.5
Yearling Steer,280-330,Feeder,C,2,8,-89,270.0,345.0,326.25,-28.5,519.2,663.5,627.4,810.0,1138.5,1056.375
Yearling Steer,280-330,Processor,C,2,20,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,769.5,769.5,769.5
Yearling Steer,280-330,Restocker,C,2,60,NQ,292.0,413.0,384.1333333333333,NQ,561.5,794.2,738.7,949.0,1362.9,1204.6966674804687
Yearling Steer,330-400,Feeder,C,2,151,-119,352.0,365.0,360.7880794701987,3.0,676.9,701.9,693.8,1256.5,1405.3,1357.9738446166184
Yearling Steer,330-400,Restocker,C,2,42,34,292.0,376.0,359.7857142857143,-0.2,561.5,723.1,691.9,1109.6,1436.1,1315.8238292875744
Yearling Steer,400+,Feeder,C,2,206,188,310.0,369.0,350.71844660194176,-9.5,596.2,709.6,674.5,1381.6,1794.0,1586.390790920813
Yearling Steer,400+,Feeder,C,3,121,96,320.0,358.0,354.1652892561983,4.8,592.6,686.5,668.6,1611.0,1720.0,1639.293388429752
Yearling Steer,400+,Processor,C,2,19,NC,283.0,283.0,283,-65.9,544.2,544.2,544.2,1188.6,1188.6,1188.6000205592106
Yearling Steer,400+,Processor,C,3,29,22,334.0,360.0,345.44827586206895,-3.1,618.5,666.7,639.7,1548.0,1903.0,1850.317239695582
Yearling Steer,400+,Restocker,C,2,2,1,330.0,330.0,330,75.0,634.6,634.6,634.6,1353.0,1353.0,1353
