Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,24,6,340.0,360.0,348.3333333333333,61.7,680.0,720.0,696.7,833.0,990.0,898.4166666666666
Yearling Steer,280-330,Feeder,C,2,21,3,383.0,414.0,394.8095238095238,-3.4,736.5,796.2,759.2,1149.0,1366.2,1231.7428385416667
Yearling Steer,280-330,Restocker,C,2,62,18,340.0,422.0,400.0967741935484,-4.2,653.8,811.5,770.3,1020.0,1353.0,1283.9516247164818
Yearling Steer,280-330,Restocker,D,2,4,-8,308.0,308.0,308,38.0,616.0,616.0,616.0,1001.0,1001.0,1001
Yearling Steer,330-400,Dairy,D,2,25,NQ,245.0,245.0,245,NQ,490.0,490.0,490.0,943.3,943.3,943.25
Yearling Steer,330-400,Feeder,C,2,53,-50,344.0,390.0,370.7169811320755,-20.9,661.5,750.0,712.9,1262.7,1462.5,1341.8075250589623
Yearling Steer,330-400,Restocker,C,2,89,55,354.0,400.0,381.19101123595505,-27.1,680.8,769.2,733.1,1239.0,1470.0,1368.5842696629213
Yearling Steer,400+,Feeder,C,2,226,62,350.0,392.0,379.5353982300885,-13.5,673.1,753.8,729.9,1549.8,1912.5,1700.8559759359443
Yearling Steer,400+,Feeder,C,3,106,67,350.0,396.0,379.37735849056605,-6.7,657.4,733.3,704.2,1636.8,2059.2,1960.4669811320755
Yearling Steer,400+,Processor,C,3,33,18,366.0,373.0,369.2121212121212,-21.9,677.8,690.7,683.7,1961.0,2182.1,2073.4818300189395
Yearling Steer,400+,Restocker,C,2,6,-19,386.0,386.0,386,-10.2,742.3,742.3,742.3,1582.6,1582.6,1582.5999348958333
Yearling Heifer,280-330,Feeder,C,2,8,-6,356.0,356.0,356,28.6,684.6,684.6,684.6,1032.4,1032.4,1032.4000244140625
Yearling Heifer,280-330,Restocker,C,2,42,-105,288.0,340.0,327.85714285714283,-2.9,553.8,653.8,630.5,820.8,1105.0,1018.0071382068452
Yearling Heifer,280-330,Restocker,D,2,3,NC,302.0,302.0,302,12.0,604.0,604.0,604.0,936.2,936.2,936.2000325520834
Yearling Heifer,330-400,Feeder,C,2,70,-95,306.0,354.0,337.35714285714283,-4.5,588.5,680.8,648.8,1040.4,1292.1,1213.7571428571428
Yearling Heifer,330-400,Feeder,C,3,1,-9,340.0,340.0,340,12.0,641.5,641.5,641.5,1309.0,1309.0,1309
Yearling Heifer,330-400,Processor,C,2,6,-36,310.0,310.0,310,-16.9,596.2,596.2,596.2,1193.5,1193.5,1193.5
Yearling Heifer,330-400,Restocker,C,2,10,-25,316.0,318.0,317.4,-16.5,607.7,611.5,610.4,1081.2,1106.0,1088.63994140625
Yearling Heifer,400+,Feeder,C,2,32,-16,325.0,346.0,339.21875,-2.7,625.0,665.4,652.3,1381.3,1500.4,1446.2171630859375
Yearling Heifer,400+,Feeder,C,3,134,78,318.0,358.0,344.05223880597015,-1.3,611.3,675.5,649.9,1344.6,1836.0,1534.974630327367
Yearling Heifer,400+,Processor,C,3,33,-17,300.0,360.0,347.09090909090907,-18.8,566.0,679.2,654.9,1425.0,1700.5,1610.909090909091
Yearling Heifer,400+,Processor,C,4,8,NQ,316.0,348.0,326.75,NQ,596.2,656.6,616.5,1496.4,1700.4,1573.4000244140625
Vealer Steer,280-330,Restocker,C,2,12,4,355.0,418.0,403.1666666666667,11.2,682.7,803.8,775.3,1011.8,1254.0,1191.7333577473958
Vealer Heifer,200-280,Processor,C,2,21,NQ,330.0,344.0,337.3333333333333,NQ,634.6,661.5,648.7,759.0,825.6,793.8856956845239
Vealer Heifer,200-280,Processor,C,3,1,NQ,360.0,360.0,360,NQ,692.3,692.3,692.3,990.0,990.0,990
Vealer Heifer,200-280,Restocker,C,2,7,-14,338.0,345.0,343,-0.4,650.0,663.5,659.6,895.7,948.8,933.5928606305804
Vealer Heifer,280-330,Processor,C,3,2,NQ,350.0,368.0,359,NQ,660.4,694.3,677.4,1104.0,1137.5,1120.75
Vealer Heifer,280-330,Restocker,C,3,1,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1105.0,1105.0,1105
Manufacturing Steer,0-540,Dairy,D,2,24,NQ,244.0,250.0,249,NQ,488.0,500.0,498.0,1220.0,1325.0,1307.5
Manufacturing Steer,540+,Dairy,D,2,8,NQ,240.0,265.0,258.75,NQ,461.5,509.6,497.6,1512.0,1590.0,1570.5
