Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 22/04/2024
Comparison Date: 15/04/2024
Total Yarding: 1545 (-1180)
Commentary
"There was a sharp drop in the overall numbers with cows making up a large percentage. Young cattle were also well supplied however export weight grown steers and heifers were scarce. The quality of the offering was fair to good while condition varied. Not all the regular feedlot and restockers were in attendance while not all processors operated.

There were varying trends through the young cattle with weaners to restockers selling to dearer trends, odd pens of steers showing strong gains. Light and medium weight yearling steers to restock and feed also sold to dearer trends with some quality related price change. Heavy feeder steers sold to a dearer trend with the preferred lines improving by 4c/kg. Yearlings heifers to restock and feed sold on a firm to dearer 
 trend for the most part. The leaner medium weights were cheaper with breed and quality contributing. Once again the preferred lines experienced the best of prices.

An improved quality penning of heavy grown steers to process were considerably dearer while the well finished grown heifers to process sold to a cheaper trend. A large percentage of the cows presented in store condition and were keenly sought by fatteners with the trend dearer. The quality and breed of the cows contributed to strong gains. Processor demand was weaker with cheaper trends resulting in all classes."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,29,NQ,300.0,350.0,344.82758620689657,NQ,576.9,673.1,663.1,825.0,910.0,901.2068965517242
Yearling Steer,280-330,Restocker,C,2,88,40,295.0,350.0,331.15909090909093,3.5,567.3,673.1,636.8,885.0,1155.0,1050.3499977805398
Yearling Steer,330-400,Feeder,C,2,44,-64,316.0,356.0,325.6363636363636,-0.4,607.7,684.6,626.2,1127.0,1424.0,1198.245450106534
Yearling Steer,330-400,Restocker,C,2,36,6,300.0,362.0,349.72222222222223,13.9,576.9,696.2,672.5,1020.0,1275.0,1234.0277777777778
Yearling Steer,400+,Feeder,C,2,146,-87,310.0,364.0,345.4109589041096,5.6,596.2,700.0,664.3,1279.2,1638.0,1520.8006775738443
