Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 22/07/2024
Comparison Date: 15/07/2024
Total Yarding: 1420 (-205)
Commentary
"There was a small reduction in numbers. The quality and condition of the offering was generally good with quite a few showing the benefit of crop. Cows were again well supplied and there was a greater than normal representation of grown heifers. Cattle suitable to processors were well supplied with not as many for feedlotters and restockers. The full filed of buyers were in attendance. 

The mixed quality nature of the few weaner steers suitable to restockers impacted price change in the negative. Medium and heavy weight yearling steers to restock and feed recovered all of last weeks losses and some to show strong gains. The heifer portion to restocker and feed sold to a slightly dearer trend. The demand for well finished cattle from processors was reflected in the market with those going to the trade showing significant improvement.

Well finished heavy weight grown steers with 2 or more teeth were keenly sought by both export and domestic processors to also show significant improvement. Well finished grown heifers sold to dearer trends with odd sales as much as 20c/kg dearer. The cow market continued its upward trajectory and showed no sign of slowing with medium weight cows showing some of the strongest improvement. The well finished heavy weight cows saw a dearer trend with prices as a much as 26c/kg dearer. Heavy bulls were also in strong demand."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,15,-10,360.0,376.0,365.3333333333333,35.5,692.3,723.1,702.6,940.0,990.0,973.3333333333334
Yearling Steer,280-330,Restocker,C,2,42,-5,290.0,366.0,331.4761904761905,-13.1,557.7,703.8,637.5,826.5,1158.4,998.0738060360864
Yearling Steer,330-400,Feeder,C,2,32,-61,290.0,375.0,361.34375,5.2,557.7,721.2,694.9,1087.5,1462.5,1333.4312133789062
Yearling Steer,330-400,Processor,C,2,4,2,310.0,310.0,310,-44.0,596.2,596.2,596.2,1116.0,1116.0,1116
Yearling Steer,330-400,Restocker,C,2,22,6,280.0,360.0,355,7.7,538.5,692.3,682.7,952.0,1303.1,1265.5681818181818
Yearling Steer,400+,Feeder,C,2,34,-27,350.0,396.0,372.52941176470586,26.8,673.1,761.5,716.4,1435.0,1835.0,1672.7058823529412
Yearling Steer,400+,Feeder,C,3,47,44,334.0,406.0,380.1276595744681,20.1,618.5,751.9,703.9,1665.0,2045.8,1977.5915319564494
Yearling Steer,400+,Processor,C,3,57,50,326.0,403.0,368.2456140350877,27.1,603.7,746.3,681.9,1647.0,2250.0,2001.8736636513158
Yearling Heifer,200-280,Restocker,C,2,26,-4,284.0,326.0,306.15384615384613,16.8,546.2,626.9,588.8,781.0,821.5,803.4230769230769
Yearling Heifer,280-330,Feeder,C,2,49,21,337.0,340.0,338.0408163265306,15.1,648.1,653.8,650.1,1078.4,1122.0,1093.5265465561224
Yearling Heifer,280-330,Processor,C,2,12,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,928.0,928.0,928
Yearling Heifer,280-330,Restocker,C,2,37,-20,320.0,342.0,332.1621621621622,26.6,603.8,657.7,637.8,928.0,1094.4,1023.4513566300676
