Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 29/04/2024
Comparison Date: 22/04/2024
Total Yarding: 1975 (+430)
Commentary
"There was an increase in supply despite the cow numbers falling by half. Young cattle were well supplied however there was a limited supply of well finished grown steers and heifers. The quality of the offering was quite mixed with condition also varying. The majority of the buyers were in attendance with some commission orders absent.

There were varying trends through the young cattle with the lighter end of the weaner steers to restock selling to cheaper trends. The heavier weights over 280kg sold to dearer trends to show strong gains in places. There was little change in the weaner heifers to restock. Secondary quality yearling steers to restock and feed sold to cheaper trends while the higher quality lines saw a firm to dearer trend with improvements of as much as 10c/kg on the heavy weights. Quality accounted for price change in some classes. Medium and heavy weight yearling heifers sold to dearer trends despite reduced competition. The keenly sought lines saw improvements of 15c to 30c on some of the breed specific sales. Well finished heavy trade cattle sold to dearer trends on a limited supply.

There were too few heavy grown steers to quote. Well finished grown heifers to process sold to dearer trends, the lack of heavy steers contributing. There was little but quality related price change in the cow market with restockers active on the plainer condition lines."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,13,NQ,202.0,202.0,202,NQ,404.0,404.0,404.0,565.6,565.6,565.5999849759615
Yearling Steer,280-330,Feeder,C,2,1,NQ,327.0,327.0,327,NQ,628.8,628.8,628.8,1079.1,1079.1,1079.0999755859375
Yearling Steer,280-330,Restocker,C,2,48,-40,230.0,332.0,312.0833333333333,-19.1,442.3,638.5,600.2,713.0,1062.4,977.1041666666666
Yearling Steer,330-400,Feeder,C,2,60,16,270.0,348.0,333.3666666666667,7.7,519.2,669.2,641.1,1053.0,1392.0,1275.841678873698
Yearling Steer,330-400,Restocker,C,2,36,NC,270.0,335.0,329.6111111111111,-20.1,519.2,644.2,633.9,1026.0,1139.0,1126.6777886284722
Yearling Steer,400+,Feeder,C,2,115,-31,305.0,373.0,337.9304347826087,-7.5,586.5,717.3,649.9,1271.0,1798.5,1574.5287109375
Yearling Steer,400+,Feeder,C,3,37,11,257.0,330.0,297.35135135135135,-26.1,494.2,634.6,566.5,1223.2,1664.0,1428.183785103463
Yearling Steer,400+,Processor,C,2,2,NQ,240.0,255.0,247.5,NQ,461.5,490.4,476.0,1096.5,1200.0,1148.25
Yearling Steer,400+,Processor,C,3,19,NQ,240.0,335.0,289.7368421052632,NQ,461.5,620.4,542.2,1248.0,1701.0,1558.921052631579
Yearling Heifer,200-280,Restocker,C,2,10,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,676.2,676.2,676.2
Yearling Heifer,200-280,Restocker,D,2,5,-8,186.0,186.0,186,-28.3,372.0,372.0,372.0,520.8,520.8,520.8
Yearling Heifer,280-330,Feeder,C,2,29,NQ,275.0,326.0,294.6551724137931,NQ,528.8,626.9,566.6,825.0,1043.2,916.0965281519397
