Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 29/07/2024
Comparison Date: 22/07/2024
Total Yarding: 1235 (-185)
Commentary
"With a very good rain event over the weekend all but ensuring producers a bumper spring the numbers were down slightly. The female categories dominated supply making a a large percentage of the offering. Quality and condition were quite mixed throughout. The usual buyers were in attendance with demand for well presented good quality cattle remaining high.

Varying trends through the young cattle where lightweight steers to restockers saw a mostly dearer trend with some quality related change. The medium and heavy weight yearling steers to feed sold to cheaper trends with averages down as a result of breed and quality related change. Well finished heavy trade steers were slightly dearer.lightweight yearling heifers to restock and feed sold on a firm to slightly cheaper market trend. The lack of suitable steers in the medium and heavy weight categories contributed to dearer trends for similar weight yearling heifers with the market trend 8c to 18c/kg dearer.

There were too few well finished heavy grown steers to quote while the well finished grown heifers attracted strong processor competition to show dearer trends. There were premiums for those with 4 teeth and less. Medium weight cows to process sold to a cheaper trend while those to restockers were dearer under increased competition. Well finished high yielding heavy weight cows once again attracted the strongest competition from processors with the market showing a dearer trend of as much as 9c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,16,1,298.0,378.0,369.75,4.4,573.1,726.9,711.1,774.8,982.8,926.5625267028809
Yearling Steer,280-330,Feeder,C,2,4,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1089.0,1089.0,1089
Yearling Steer,280-330,Restocker,C,2,31,-11,290.0,397.0,363.9032258064516,32.4,557.7,763.5,699.8,957.0,1270.4,1107.954826108871
Yearling Steer,330-400,Dairy,D,2,16,NQ,198.0,198.0,198,NQ,396.0,396.0,396.0,693.0,693.0,693
Yearling Steer,330-400,Feeder,C,2,36,4,310.0,374.0,338,-23.3,596.2,719.2,648.6,1085.0,1421.2,1244.4222140842014
Yearling Steer,330-400,Feeder,D,2,4,NQ,330.0,330.0,330,NQ,660.0,660.0,660.0,1270.5,1270.5,1270.5
Yearling Steer,330-400,Processor,C,3,1,NQ,390.0,390.0,390,NQ,722.2,722.2,722.2,1560.0,1560.0,1560
Yearling Steer,330-400,Restocker,C,2,1,-21,308.0,308.0,308,-47.0,592.3,592.3,592.3,1078.0,1078.0,1078
Yearling Steer,400+,Feeder,C,2,48,14,310.0,367.0,359.3333333333333,-13.2,596.2,705.8,691.0,1302.0,1898.0,1679.1895802815754
Yearling Steer,400+,Processor,C,3,7,-50,370.0,380.0,373.42857142857144,5.2,685.2,703.7,691.5,1628.0,2431.0,1755.2857142857142
Yearling Heifer,200-280,Restocker,C,2,44,18,295.0,338.0,326.75,20.6,567.3,650.0,628.4,678.5,907.5,836.2500083229759
Yearling Heifer,280-330,Feeder,C,2,33,-16,290.0,356.0,330.54545454545456,-7.5,557.7,684.6,635.7,954.8,1139.2,1068.939393939394
