Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Toowoomba
Report Date: 05/02/2024
Comparison Date: 
Total Yarding: 457 (NQ)
Commentary
"The return to fine weather saw numbers at Toowoomba climb to 475 head which improved processor buyer attendance. All the usual feeder and restocker buyers attended along a large panel of onlookers. The overall yarding was good with several pens of well finished cows which sold to firm prices plus quality lines of yearling steers and heifers which sold to dearer trends with quality the major factor.

Yearling steers in the 200-280kg range to restockers averaged 454c and sold to 524c/kg. Yearling steers over 280kg to restockers made 430c to average 412c/kg. Yearling steers to feed for the domestic market made 384c to average 380c with the plainer quality lines at 236c/kg. Heavy yearling steers to feed sold to 384c to average from 351c to 375c/kg. Yearling heifers 200-280kg to background made 310c to average 308c/kg. Yearling heifers to feed for the domestic market sold to 338c and averaged 335c with heavy yearling heifers to feed topping at 336c and averaging 319c/kg.

Grown heifers to processors averaged 277c and sold to 312c with those to feed at 326c/kg. Light weight cows to processors sold to 232c/kg. Good heavy cows to processors averaged 263c and sold to 278c/kg. Medium weight bulls to feed sold to 302c and averaged 291c/kg. Heavy bulls to processors made 298c to average 280c/kg. Cows and calves sold to $2000/unit.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,5,NQ,368.0,368.0,368,NQ,681.5,681.5,681.5,1012.0,1012.0,1012
Yearling Steer,200-280,Restocker,C,2,42,26,344.0,524.0,453.9047619047619,31.3,637.0,970.4,840.6,832.5,1220.1,1031.3666425432477
Yearling Steer,200-280,Restocker,D,2,9,NQ,270.0,328.0,295.77777777777777,NQ,500.0,607.4,547.7,742.5,803.6,769.6555447048611
Yearling Steer,280-330,Feeder,C,2,2,NQ,368.0,368.0,368,NQ,681.5,681.5,681.5,1196.0,1196.0,1196
Yearling Steer,280-330,Restocker,C,2,24,NQ,382.0,430.0,411.8333333333333,NQ,707.4,796.3,762.7,1088.7,1225.5,1178.8249918619792
Yearling Steer,330-400,Feeder,C,2,10,3,370.0,384.0,380.2,8.9,685.2,711.1,704.1,1239.5,1324.8,1307.9900146484374
