Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Toowoomba
Report Date: 11/03/2024
Comparison Date: 
Total Yarding: 321 (NQ)
Commentary
"The number of cattle penned at Toowoomba increased by 123 head to 321. There was a wide variation in quality and this was also reflected in prices. A good panel of buyers was present and operating along with a large number of onlookers. Prices followed the trend of other selling centres with most classes experiencing a cheaper market.

The best of the light weight yearling steers under 200kg returning to the paddock made to a top of 460c to average 426c/kg. Yearling steers under 280kg also to restockers made to 408c to average 357c and lesser quality lines 244c/kg. Yearling steers to feed for the domestic market averaged from 333c to 334c with sales to 350c/kg. Heavy weight yearling steers to feed made to 282c to average 276c with the occasional sale to restockers at 368c/kg. Light weight yearling heifers under 200kg made to 294c to average 278c, while the under 280kg lines averaged 250c and made to 264c/kg. Yearling heifers to feed made to 278c and averaged 257c/kg. 

A couple of full mouth bullocks made to 258c/kg. Plain condition medium weight cows averaged 188c and the 2 scores made to 206c to average 202c/kg. Good heavy weight cows made to 240c and averaged 238c/kg. Heavy weight bulls made to 220c/kg. Light weight yearling steers sold open auction made to $620/head and the heifer portion $570/head. Cows and calves made to $1,400/unit. 

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,22,-3,306.2,460.2,426.20000943270594,-29.0,556.7,836.7,774.9,566.5,856.0,814.9338739568537
Yearling Steer,200-280,Processor,D,2,1,NQ,176.2,176.2,176.1999969482422,NQ,326.3,326.3,326.3,493.4,493.4,493.3599853515625
Yearling Steer,200-280,Restocker,C,2,45,42,276.2,408.2,357.26668565538193,-58.9,502.2,742.2,649.6,640.8,1045.0,920.6791937934028
Yearling Steer,200-280,Restocker,D,2,8,-6,192.2,284.2,244.70000076293945,-63.8,349.5,516.7,444.9,528.5,673.6,598.286018371582
Yearling Steer,280-330,Feeder,C,2,6,-3,328.2,338.2,333.53334554036456,-3.6,596.7,614.9,606.4,1002.6,1105.9,1060.5760498046875
Yearling Steer,280-330,Feeder,D,2,5,NQ,264.2,264.2,264.2,NQ,480.4,480.4,480.4,848.1,848.1,848.08203125
