Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Toowoomba
Report Date: 12/02/2024
Comparison Date: 05/02/2024
Total Yarding: 290 (-167)
Commentary
"The number of cattle penned at Toowoomba reduced by 185 head to 290. Overall quality was mixed however a few pens of well bred young cattle were included in the lineup. A fair panel of buyers was present covering all classes. Young cattle continued to receive strong support from restockers. Cows followed the trend of other selling centres and struggled to maintain the improved levels of the previous week.

Light weight yearling steers under 200kg made to 532c/kg. Yearling steers under 280kg returning to the paddock averaged 468c and made to 518c/kg. Yearling steers under 330kg sold to restockers at an average of 394c with sales to 398c/kg. Medium weight yearling steers to feed made to 368c to average 350c/kg. Yearling heifers under 200kg made to 382c to average 371c/kg. A mixed quality line up of yearling heifers under 280kg returning to the paddock averaged 287c and made to 296c/kg. Yearling heifers to feed for the domestic market averaged 312c and made to 314c/kg.

Medium weight 2 score cows to restockers made to 254c while those to processors averaged 232c and made to 246c/kg. The best of the heavy weight cows made to 268c/kg. Heavy weight bulls made to 256c and bull calves to restockers made to 486c/kg. Cows and calves made to $1800/unit.

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,13,NQ,514.2,532.2,519.7384878305288,NQ,934.9,967.6,945.0,894.1,992.4,962.1567946213943
Yearling Steer,0-200,Restocker,D,2,6,NQ,356.2,356.2,356.2000325520833,NQ,647.6,647.6,647.6,587.7,587.7,587.7300618489584
Yearling Steer,200-280,Restocker,C,2,41,-1,390.2,518.2,467.7609922827744,13.9,709.5,942.2,850.5,1030.0,1250.5,1174.848936499619
Yearling Steer,200-280,Restocker,D,2,7,-2,326.2,374.2,343.914306640625,48.1,593.1,680.4,625.3,815.5,954.2,862.4585745675223
Yearling Steer,280-330,Feeder,C,2,6,4,336.2,358.2,349.86668904622394,-18.1,611.3,651.3,636.1,989.7,1114.0,1058.1480509440105
