Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,5,NQ,152.2,152.2,152.2,NQ,276.7,276.7,276.7,283.1,283.1,283.0919921875
Yearling Steer,200-280,Restocker,C,2,75,68,330.0,406.2,375.54667724609374,82.8,600.0,738.5,682.8,855.5,1061.8,972.2634212239583
Yearling Steer,200-280,Restocker,D,2,14,10,208.2,308.0,282.64286041259766,34.0,378.5,570.4,514.6,520.5,816.2,671.9768807547433
Yearling Steer,200-280,Restocker,E,1,1,NQ,180.0,180.0,180,NQ,327.3,327.3,327.3,477.0,477.0,477
Yearling Steer,280-330,Restocker,C,2,75,NQ,300.0,400.2,359.89601155598956,NQ,545.5,727.6,654.4,900.0,1191.0,1075.9164567057292
Yearling Steer,280-330,Restocker,D,2,11,NQ,150.0,290.2,200.98182262073863,NQ,277.8,527.6,368.6,427.5,821.3,570.6876331676136
Yearling Steer,330-400,Feeder,C,2,46,45,324.0,366.2,351.482618248981,65.3,589.1,665.8,639.1,1153.1,1263.6,1206.6160941745925
Yearling Steer,330-400,Restocker,C,2,2,NQ,324.2,330.0,327.1000061035156,NQ,589.5,600.0,594.7,1105.5,1280.6,1193.0450439453125
Yearling Steer,330-400,Restocker,D,2,2,NQ,261.2,261.2,261.20001220703125,NQ,474.9,474.9,474.9,893.3,893.3,893.3040771484375
Yearling Steer,400+,Feeder,C,2,1,NQ,301.2,301.2,301.20001220703125,NQ,547.6,547.6,547.6,1355.4,1355.4,1355.4000244140625
Yearling Steer,400+,Feeder,D,2,5,4,263.2,263.2,263.20001220703125,13.2,478.5,478.5,478.5,1079.1,1368.6,1137.0240966796875
Yearling Steer,400+,Processor,D,2,1,NQ,220.0,220.0,220,NQ,400.0,400.0,400.0,902.0,902.0,902
Yearling Heifer,0-200,Restocker,D,2,3,NQ,218.2,218.2,218.19999186197916,NQ,404.1,404.1,404.1,366.6,366.6,366.5760091145833
Yearling Heifer,200-280,Processor,C,2,34,31,231.2,266.2,242.8470557717716,36.6,428.1,493.0,449.7,612.7,705.4,643.5447100471048
Yearling Heifer,200-280,Restocker,C,2,34,33,198.2,260.0,237.84117395737593,-2.2,367.0,481.5,440.4,525.2,676.0,610.8073515050552
Yearling Heifer,200-280,Restocker,D,2,8,7,160.0,193.2,184.89999389648438,16.7,296.3,357.8,342.4,424.0,512.0,489.9850158691406
Yearling Heifer,280-330,Feeder,C,2,53,NQ,231.2,260.0,251.58868005140772,NQ,428.1,481.5,465.9,676.0,811.2,777.5072090580778
Yearling Heifer,280-330,Processor,C,2,2,NQ,242.2,242.2,242.1999969482422,NQ,448.5,448.5,448.5,695.1,695.1,695.114013671875
Yearling Heifer,280-330,Restocker,C,2,4,NQ,242.2,248.2,245.1999969482422,NQ,448.5,459.6,454.1,726.6,744.6,735.5999755859375
Yearling Heifer,330-400,Feeder,C,2,47,46,236.2,290.0,269.54468033161567,1.3,437.4,537.0,499.2,826.7,1038.2,916.8531727892288
Yearling Heifer,330-400,Feeder,D,2,3,NQ,211.2,211.2,211.19999186197916,NQ,391.1,391.1,391.1,739.2,739.2,739.2000325520834
Yearling Heifer,330-400,Processor,C,2,1,NQ,201.2,201.2,201.1999969482422,NQ,372.6,372.6,372.6,774.6,774.6,774.6199951171875
Yearling Heifer,400+,Feeder,C,2,13,NQ,260.0,276.2,274.953857421875,NQ,481.5,511.5,509.2,1053.0,1151.8,1144.1576021634614
Grown Steer,600-750,Processor,C,3,1,NQ,241.2,241.2,241.1999969482422,NQ,438.5,438.5,438.5,1543.7,1543.7,1543.6800537109375
Grown Heifer,0-540,Feeder,C,2,6,NQ,200.0,200.0,200,NQ,416.7,416.7,416.7,994.0,994.0,994
Grown Heifer,0-540,Processor,D,2,2,NQ,171.2,171.2,171.1999969482422,NQ,356.7,356.7,356.7,616.3,616.3,616.3200073242188
Grown Heifer,0-540,Restocker,D,2,5,NQ,165.2,165.2,165.2,NQ,344.2,344.2,344.2,641.0,641.0,640.9759765625
Cows,0-400,Processor,D,1,2,NQ,151.2,151.2,151.1999969482422,NQ,343.6,343.6,343.6,529.2,529.2,529.2000122070312
Cows,0-400,Processor,D,2,3,NQ,160.0,160.0,160,NQ,347.8,347.8,347.8,576.0,576.0,576
Cows,400-520,Processor,D,1,2,NQ,141.2,141.2,141.1999969482422,NQ,320.9,320.9,320.9,666.5,666.5,666.4639892578125
Cows,400-520,Processor,D,2,7,NQ,160.0,171.2,163.54285539899553,NQ,347.8,372.2,355.5,696.0,859.4,775.0422886439732
Cows,400-520,Processor,D,3,2,NQ,211.2,211.2,211.1999969482422,NQ,431.0,431.0,431.0,1091.9,1091.9,1091.9039306640625
Cows,520+,Processor,D,2,2,NQ,171.2,171.2,171.1999969482422,NQ,372.2,372.2,372.2,941.6,941.6,941.5999755859375
Bulls,0-450,Restocker,C,2,2,1,265.0,265.0,265,36.8,481.8,481.8,481.8,609.5,609.5,609.5
Bulls,0-450,Restocker,D,2,3,NC,180.0,180.0,180,3.3,327.3,327.3,327.3,352.8,352.8,352.7999674479167
