Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,34,NQ,380.0,398.0,395.3529411764706,NQ,730.8,765.4,760.3,1014.6,1094.5,1082.75
Yearling Steer,200-280,Restocker,C,2,27,-23,380.0,435.0,402.4074074074074,45.7,730.8,836.5,773.9,790.4,976.6,883.2184968171297
Yearling Steer,200-280,Restocker,D,2,5,NQ,295.0,295.0,295,NQ,590.0,590.0,590.0,767.0,767.0,767
Yearling Steer,280-330,Feeder,C,2,31,-47,334.0,350.0,343.4193548387097,0.5,642.3,673.1,660.4,987.0,1078.8,1036.6832314768146
Yearling Steer,280-330,Restocker,C,2,67,13,330.0,404.0,376.2985074626866,10.5,634.6,776.9,723.7,965.6,1227.4,1141.2585157707556
Yearling Steer,280-330,Restocker,D,2,10,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1010.6,1010.6,1010.6
Yearling Steer,330-400,Feeder,C,2,226,-105,338.0,411.0,380.87168141592923,6.0,650.0,790.4,731.7,1149.2,1602.9,1384.9721355607023
Yearling Steer,330-400,Feeder,C,3,73,NQ,382.0,404.0,398.5753424657534,NQ,734.6,776.9,766.5,1337.0,1393.8,1379.7945205479452
Yearling Steer,330-400,Processor,C,2,65,NQ,288.0,407.0,382.16923076923075,NQ,553.8,782.7,734.9,1008.0,1538.5,1356.3842998798077
Yearling Steer,330-400,Restocker,C,2,5,-6,330.0,330.0,330,-2.7,634.6,634.6,634.6,1207.8,1207.8,1207.8
Yearling Steer,330-400,Restocker,D,3,9,NQ,318.0,318.0,318,NQ,611.5,611.5,611.5,1113.0,1113.0,1113
Yearling Steer,400+,Feeder,C,2,678,-46,320.0,405.0,384.91297935103245,-1.7,592.6,778.8,730.3,1347.2,1995.0,1735.35634016639
Yearling Steer,400+,Feeder,C,3,201,36,316.0,395.0,353.2636815920398,-46.7,607.7,768.0,684.6,1368.3,1854.7,1639.863188938122
Yearling Steer,400+,Feeder,D,2,38,NQ,314.0,368.0,346.5,NQ,581.5,707.7,662.8,1383.1,1513.5,1450.408383018092
Yearling Steer,400+,Processor,C,3,44,22,372.0,406.0,385.1363636363636,6.5,688.9,751.9,713.2,1610.8,2109.0,1756.9841086647727
Yearling Steer,400+,Processor,D,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1093.5,1093.5,1093.5
Yearling Steer,400+,Restocker,D,2,2,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1148.0,1148.0,1148
Yearling Heifer,200-280,Feeder,C,2,45,NQ,256.0,294.0,280.4888888888889,NQ,492.3,554.7,532.5,617.0,787.9,727.1342230902778
