Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,6,NQ,366.0,366.0,366,NQ,677.8,677.8,677.8,1006.5,1006.5,1006.5
Yearling Steer,200-280,Restocker,C,2,79,-16,312.0,404.0,356.0253164556962,3.3,577.8,748.1,659.3,816.0,1111.0,947.5835439947587
Yearling Steer,200-280,Restocker,D,2,18,14,270.0,296.0,287.3333333333333,10.8,500.0,548.1,532.1,742.5,814.0,790.1666666666666
Yearling Steer,280-330,Dairy,D,2,1,NQ,286.0,286.0,286,NQ,529.6,529.6,529.6,858.0,858.0,858
Yearling Steer,280-330,Feeder,C,2,29,-2,316.0,370.0,353.0344827586207,-24.1,585.2,685.2,653.8,948.0,1170.0,1078.4103456694504
Yearling Steer,280-330,Restocker,C,2,10,-34,306.0,376.0,349.8,-3.6,566.7,696.3,647.8,918.0,1222.0,1096.4
Yearling Steer,280-330,Restocker,D,2,3,-1,300.0,300.0,300,23.5,555.6,555.6,555.6,900.0,900.0,900
Yearling Steer,330-400,Feeder,C,2,83,39,326.0,398.0,364.04819277108436,4.6,603.7,737.0,674.2,1139.0,1485.2,1347.5156602974398
Yearling Steer,330-400,Feeder,D,2,9,7,266.0,308.0,280,-16.0,492.6,570.4,518.5,917.7,1031.8,955.7333713107639
Yearling Steer,330-400,Processor,C,2,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1343.0,1343.0,1343
Yearling Steer,330-400,Processor,C,3,1,NC,396.0,396.0,396,56.0,733.3,733.3,733.3,1366.2,1366.2,1366.199951171875
Yearling Steer,330-400,Restocker,C,2,2,-14,359.0,359.0,359,29.6,664.8,664.8,664.8,1202.7,1202.7,1202.6500244140625
Yearling Steer,400+,Feeder,C,2,42,-8,349.0,376.0,362.1904761904762,6.7,646.3,696.3,670.7,1448.3,1823.6,1613.6952398390997
Yearling Steer,400+,Processor,C,2,3,-1,308.0,308.0,308,-30.0,570.4,570.4,570.4,1278.2,1278.2,1278.199951171875
