Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 1046 (-381)
Commentary
"Warwick agents penned 1,046 mixed quality cattle. With the absence of one major processor prices for the export lines could not maintain last weeks rates and eased by 3c to 15c on the cows with heavy bulls the most affected. Heavy feeder lines sold to similar prices to last sale with most restocker yearlings selling to dearer trends for the better quality lines on offer. 

Light weight yearling steers to restockers made 438c to average 388c/kg. Yearling steers over 280kg to background sold to 370c and averaged 353c/kg. Yearling steers to feed for the domestic market made 346c with restockers paying to 366c/kg. Heavy yearling steers to feed averaged 338c and sold to 348c with those to the wholesale meat trade at 389c/kg. Light weight yearling heifers to background averaged 323c with the occasional isolated sale to 502c/kg. Yearling heifers to feed for the domestic market made 350c with those to restockers at 368c to average 332c/kg. Heavy yearling heifers to wholesalers sold to 374c/kg. 

Grown steers to processors made 310c to average 293c/kg. Grown heifers to processors made 296c to average 286/kg. Light weight cows to processors sold to 250c and averaged 238c/kg. Heavy score 2 cows to processors made 268c and averaged 266c with the best heavy cows topping at 280c to average 270c/kg. Light weight bulls to restockers sold to 330c and averaged 297c/kg. Heavy bulls to processors averaged 250c and sold to 268c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,78,30,332.0,438.0,388.0769230769231,48.0,614.8,811.1,718.7,878.9,1105.5,989.2730892866085
Yearling Steer,200-280,Restocker,D,2,12,-7,280.0,310.0,295,28.5,518.5,574.1,546.3,742.0,821.5,793.9166666666666
Yearling Steer,280-330,Feeder,C,2,27,-13,300.0,362.0,338.22222222222223,-2.0,555.6,670.4,626.3,906.0,1176.5,1021.9999819155092
Yearling Steer,280-330,Restocker,C,2,37,-53,340.0,370.0,352.94594594594594,-11.8,629.6,685.2,653.6,997.5,1202.5,1116.8040573532517
Yearling Steer,330-400,Feeder,C,2,68,-23,306.0,346.0,337.29411764705884,-8.1,566.7,640.7,624.6,1105.5,1366.7,1233.933801987592
Yearling Steer,330-400,Processor,C,3,1,-17,376.0,376.0,376,81.6,696.3,696.3,696.3,1485.2,1485.2,1485.199951171875
