Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 2103 (+1071)
Commentary
"The return to clear skies and the high prices attained last week resulted in agents at Warwick penning 2,103 cattle up by 1,071 head. All the regular buyers attended and operated on a softer market for most classes except the bullocks which sold to dearer trends. The prices for feeder and restocker lines varied along with the type and quality offered and lost from 3c to 20c/kg and more in places. 

Light weight yearling steers to restockers made 446c to average 395c/kg. Yearling steers over 280kg to background sold to 434c and averaged 411c/kg. Yearling steers to feed for the domestic market made 420c with restockers paying to 430c/kg. Heavy yearling steers to feed sold to 395c and averaged from 365c to 377c/kg. Light weight yearling heifers to restockers made 344c to average 318c/kg. Yearling heifers over 280kg to feed made 382c with the medium weights to feed at 390c to average 341c/kg. Heavy yearling heifers to the wholesale meat trade sold to 416c to average 363c/kg. 

Grown steers to processors made 371c with those over 600kg at 368c to average from 360c to 362c/kg. Light weight cows to processors sold to 270c and averaged 243c/kg. Heavy score 3 cows to processors made 290c to average 283c with the best heavy cows topping at 310c to average 300c/kg. Light weight bulls to restockers made 414c to average 340c/kg. Heavy bulls to processors made 320c to average 307c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,13,6,310.0,400.0,386.9230769230769,-24.8,574.1,740.7,716.5,573.5,760.5,733.6538461538462
Yearling Steer,0-200,Restocker,D,2,8,NQ,328.0,382.0,341.5,NQ,607.4,707.4,632.4,639.6,706.7,656.3749847412109
Yearling Steer,200-280,Restocker,C,2,121,8,342.0,446.0,394.58677685950414,-46.5,633.3,825.9,730.7,874.2,1182.5,1023.8260402206547
Yearling Steer,200-280,Restocker,D,2,11,NQ,180.0,374.0,285.27272727272725,NQ,333.3,692.6,528.3,495.0,943.4,747.9545565518466
Yearling Steer,280-330,Feeder,C,2,5,-5,383.0,383.0,383,-43.0,709.3,709.3,709.3,1091.6,1091.6,1091.55
Yearling Steer,280-330,Restocker,C,2,94,70,361.0,434.0,410.93617021276594,-6.9,668.5,803.7,761.0,1100.1,1391.0,1272.1382952750998
