Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mt Compass
Report Date: 12/03/2025
Comparison Date: 
Total Yarding: 1065 (NQ)
Commentary
"Numbers remained similar as agents offered 1065 liveweight cattle. Quality remains extremely mixed as female cattle were again offered in large numbers with more 2 score cattle presented. The usual trade and processor buyers were active along with feeders and restockers with plainer cattle reflecting an easing trend. The few better conditioned cattle sold generally firm for type and condition.

Vealer steers sold from 330c to 345c with heifers fetching 280c/kg. Yearling steers sold from 250c to 360c as heifers ranged from 140c to 349c/kg.

Manufacturing steers sold from 200c to 350c as grown steers ranged from 259c to 381c with grown heifers fetching 223c to 357c/kg. Light beef cows sold from 130c to 190c, medium dairy breeds ranged from 213c to 239c as medium beef types ranged from 120c to 301c. Heavy beef cows sold from 211c to331c as dairy breeds ranged from 217c to 265c/kg. Bulls sold from 240c to 321c/kg.

Market reporter: John Traeger."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,74,59,250.0,355.0,345.0405405405405,45.2,500.0,710.0,690.1,725.0,1143.1,1088.993751319679
Yearling Steer,280-330,Restocker,C,3,14,NQ,340.0,340.0,340,NQ,680.0,680.0,680.0,1111.8,1111.8,1111.800083705357
Yearling Steer,330-400,Feeder,C,2,30,24,280.0,351.0,348.1666666666667,-4.3,560.0,702.0,696.3,1050.0,1361.9,1277.806640625
Yearling Steer,330-400,Feeder,C,3,7,-10,300.0,340.0,334.2857142857143,-17.1,600.0,680.0,668.6,1200.0,1343.0,1322.5714285714287
Yearling Steer,330-400,Processor,C,2,1,NQ,353.0,353.0,353,NQ,706.0,706.0,706.0,1376.7,1376.7,1376.699951171875
Yearling Steer,330-400,Processor,C,3,10,NQ,330.0,350.0,334,NQ,660.0,700.0,668.0,1162.0,1300.2,1272.5599609375
Yearling Steer,330-400,Restocker,C,2,38,6,280.0,350.0,336.63157894736844,-16.4,560.0,700.0,673.3,1050.0,1295.8,1187.5981573807567
Yearling Steer,400+,Feeder,C,2,1,-57,330.0,330.0,330,-12.1,660.0,660.0,660.0,1336.5,1336.5,1336.5
Yearling Steer,400+,Feeder,C,3,2,-18,300.0,340.0,320,-30.0,600.0,680.0,640.0,1335.0,1564.0,1449.5
Yearling Steer,400+,Processor,C,2,2,NQ,360.0,360.0,360,NQ,720.0,720.0,720.0,1627.2,1627.2,1627.199951171875
Yearling Steer,400+,Restocker,C,2,2,-1,353.0,353.0,353,116.3,706.0,706.0,706.0,1472.0,1472.0,1472.010009765625
Yearling Steer,400+,Restocker,C,3,9,NQ,340.0,340.0,340,NQ,680.0,680.0,680.0,1479.0,1479.0,1479
Yearling Heifer,200-280,Processor,C,2,2,NQ,249.0,249.0,249,NQ,498.0,498.0,498.0,664.8,664.8,664.8300170898438
Yearling Heifer,200-280,Restocker,D,2,1,NC,140.0,140.0,140,-91.0,297.9,297.9,297.9,357.0,357.0,357
Yearling Heifer,280-330,Restocker,C,2,42,-10,240.0,280.0,266.6666666666667,0.1,480.0,560.0,533.3,768.0,924.0,861.5238095238095
Yearling Heifer,280-330,Restocker,D,2,5,NQ,170.0,170.0,170,NQ,361.7,361.7,361.7,518.5,518.5,518.5
Yearling Heifer,330-400,Feeder,C,2,15,NQ,303.0,303.0,303,NQ,606.0,606.0,606.0,1096.9,1096.9,1096.8600260416667
Yearling Heifer,330-400,Processor,C,2,4,NQ,299.0,310.0,304.5,NQ,598.0,620.0,609.0,1121.3,1178.0,1149.625
Yearling Heifer,330-400,Restocker,C,2,15,9,230.0,301.0,261.06666666666666,-1.3,460.0,602.0,522.1,765.9,1083.6,903.5500162760417
Yearling Heifer,400+,Dairy,D,2,2,NQ,260.0,260.0,260,NQ,553.2,553.2,553.2,1617.2,1617.2,1617.199951171875
Yearling Heifer,400+,Feeder,C,2,8,4,270.0,281.0,276.875,-23.1,540.0,562.0,553.8,1107.0,1225.2,1180.8500366210938
Yearling Heifer,400+,Processor,C,2,3,2,289.0,289.0,289,-31.0,578.0,578.0,578.0,1294.7,1294.7,1294.719970703125
Yearling Heifer,400+,Processor,C,3,9,3,319.0,349.0,328.1111111111111,-5.2,638.0,698.0,656.2,1317.5,1595.7,1421.3466118706597
Vealer Steer,200-280,Restocker,C,2,5,-9,330.0,345.0,339,45.3,660.0,690.0,678.0,858.0,952.2,914.52001953125
Vealer Heifer,280-330,Restocker,C,2,10,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,786.8,786.8,786.8
Manufacturing Steer,540+,Processor,C,2,3,-1,280.0,300.0,286.6666666666667,6.7,560.0,600.0,573.3,1867.6,2115.0,1950.066650390625
Manufacturing Steer,540+,Processor,C,3,6,5,295.0,350.0,340.8333333333333,-19.2,590.0,700.0,681.7,2212.5,2548.0,2492.0833333333335
Manufacturing Steer,540+,Processor,C,4,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,2290.0,2290.0,2290
Grown Steer,400-500,Feeder,C,2,3,-8,330.0,349.0,339.6666666666667,43.4,660.0,698.0,679.3,1428.0,1675.2,1540.3999837239583
Grown Steer,400-500,Feeder,C,3,5,-4,310.0,340.0,328,-27.0,620.0,680.0,656.0,1494.2,1533.4,1517.72001953125
Grown Steer,400-500,Processor,C,2,2,NQ,260.0,280.0,270,NQ,520.0,560.0,540.0,1196.0,1400.0,1298
Grown Steer,400-500,Processor,C,3,3,1,357.0,373.0,367.6666666666667,31.2,714.0,746.0,735.3,1660.1,1846.3,1784.25
Grown Steer,400-500,Restocker,C,2,1,NQ,259.0,259.0,259,NQ,518.0,518.0,518.0,1178.4,1178.4,1178.449951171875
Grown Steer,500-600,Feeder,C,2,1,-6,280.0,280.0,280,-71.0,560.0,560.0,560.0,1456.0,1456.0,1456
Grown Steer,500-600,Processor,C,2,1,-8,361.0,361.0,361,23.8,722.0,722.0,722.0,2075.8,2075.8,2075.75
Grown Steer,500-600,Processor,C,3,17,12,320.0,373.0,360.5882352941176,20.6,640.0,746.0,721.2,1890.0,2021.9,1969.0670309627758
Grown Steer,600-750,Dairy,D,2,1,NQ,260.0,260.0,260,NQ,553.2,553.2,553.2,1625.0,1625.0,1625
Grown Steer,600-750,Processor,C,3,11,9,340.0,381.0,360.90909090909093,0.9,680.0,762.0,721.8,2135.2,2609.9,2336.9645774147725
Grown Heifer,0-540,Feeder,D,2,1,NQ,223.0,223.0,223,NQ,474.5,474.5,474.5,914.3,914.3,914.2999877929688
Grown Heifer,0-540,Processor,C,2,15,10,280.0,323.0,294.2,-7.4,560.0,646.0,588.4,1366.4,1663.4,1408.8433430989583
Grown Heifer,0-540,Processor,C,3,16,5,300.0,357.0,335,13.7,600.0,714.0,670.0,1275.0,1802.8,1594.743766784668
Grown Heifer,0-540,Processor,D,2,1,-12,281.0,281.0,281,36.0,597.9,597.9,597.9,1208.3,1208.3,1208.300048828125
Grown Heifer,540+,Feeder,C,2,1,NC,300.0,300.0,300,-15.0,600.0,600.0,600.0,1665.0,1665.0,1665
Grown Heifer,540+,Processor,C,2,3,NQ,320.0,357.0,344.6666666666667,NQ,640.0,714.0,689.3,2006.3,2032.0,2014.893310546875
Grown Heifer,540+,Processor,C,3,2,-6,353.0,355.0,354,14.5,706.0,710.0,708.0,1970.3,2065.1,2017.6500244140625
Cows,0-400,Processor,D,2,6,-6,140.0,189.0,173.16666666666666,-59.1,297.9,402.1,368.4,518.0,756.0,640.6166585286459
Cows,0-400,Restocker,D,2,72,60,130.0,190.0,162.30555555555554,-49.9,276.6,404.3,345.3,414.0,704.9,590.6677695380317
Cows,400-520,Dairy,D,2,4,3,213.0,239.0,228.5,5.5,453.2,508.5,486.2,1036.9,1223.7,1139.9900207519531
Cows,400-520,Feeder,C,2,5,NQ,260.0,263.0,262.4,NQ,520.0,526.0,524.8,1092.0,1315.0,1270.4
Cows,400-520,Processor,C,2,46,-1,223.0,301.0,262.9347826086956,4.2,446.0,602.0,525.9,903.2,1520.1,1283.1830444335938
Cows,400-520,Processor,C,3,3,-29,277.0,289.0,282,-30.9,554.0,578.0,564.0,1232.7,1456.0,1368.25
Cows,400-520,Processor,D,2,36,-11,120.0,245.0,214.36111111111111,2.4,255.3,521.3,456.1,576.0,1200.0,959.8346964518229
Cows,400-520,Restocker,C,2,3,NQ,249.0,249.0,249,NQ,498.0,498.0,498.0,1202.7,1202.7,1202.6700846354167
Cows,400-520,Restocker,D,2,13,NQ,210.0,210.0,210,NQ,446.8,446.8,446.8,913.5,913.5,913.5
Cows,520+,Dairy,D,2,10,-23,217.0,265.0,240.2,7.3,461.7,563.8,511.1,1316.6,1815.3,1548.9450073242188
Cows,520+,Processor,C,2,17,-12,255.0,310.0,285.52941176470586,20.2,510.0,620.0,571.1,1402.5,2092.5,1758.5052633846508
Cows,520+,Processor,C,3,39,-39,290.0,331.0,314.35897435897436,9.2,580.0,662.0,628.7,1708.2,2524.5,2040.7489827473958
Cows,520+,Processor,C,4,5,4,231.0,280.0,240.8,-49.2,462.0,560.0,481.6,2074.4,2590.0,2177.50390625
Cows,520+,Processor,D,2,5,3,211.0,255.0,237.4,2.4,448.9,542.6,505.1,1175.3,1402.5,1311.6080078125
Cows,520+,Restocker,C,2,1,NQ,227.0,227.0,227,NQ,454.0,454.0,454.0,1280.3,1280.3,1280.280029296875
Bulls,450-600,Processor,C,2,2,NQ,260.0,277.0,268.5,NQ,520.0,554.0,537.0,1378.0,1578.9,1478.4500122070312
Bulls,450-600,Processor,C,3,1,NC,270.0,270.0,270,10.0,540.0,540.0,540.0,1417.5,1417.5,1417.5
Bulls,600+,Processor,C,2,8,3,240.0,295.0,275.75,-6.9,480.0,590.0,551.5,1704.0,3066.0,2206.1912536621094
Bulls,600+,Processor,C,3,6,-4,303.0,321.0,311.6666666666667,2.2,606.0,642.0,623.3,2333.1,3659.4,2962.675008138021
