Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 1427 (-676)
Commentary
"Warwick agents penned 1,427 cattle down by 676 head. All the regular buyers attended and operated on a softer market across all classes with grown steers back 30c/kg cows eased from 4c to 14c/kg heavy feeder steers back by 33c/kg and domestic feeders reduced from 28c to 33c/kg with the better quality lines of restocker yearlings the least effected.

Light weight yearling steers to restockers made 399c to average 340c with those over 280kg at 400c to average 365c/kg. Yearling steers to feed for the domestic market made 376c with restockers paying 396c to average 374c/kg. Heavy yearling steers to feed sold to 350c and averaged from 335c to 338c/kg. Light weight yearling heifers to background made 320c to average 283c/kg. Yearling heifers to feed for the domestic market sold to 366c and averaged 320c/kg. Heavy yearling heifers to the wholesale meat trade made 382c to average 333c/kg.

Grown steers to processors made 345c to average 328c/kg. Grown heifers to processors sold to 336c/kg. Light weight cows to processors made 268c to average 239c/kg. Good heavy score 3 cows to processors sold to 287c with the best cows topping at 293c to average 285c/kg. Light weight bulls to restockers made 340c to average 308c/kg. Heavy bulls to processors made 297c to average 282c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,2,NQ,336.0,338.0,337,NQ,622.2,625.9,624.1,924.0,929.5,926.75
Yearling Steer,200-280,Restocker,C,2,48,-73,286.0,399.0,340.1041666666667,-54.5,529.6,738.9,629.8,672.1,1057.3,899.3739420572916
Yearling Steer,200-280,Restocker,D,2,19,8,198.0,310.0,266.5263157894737,-18.7,366.7,574.1,493.6,544.5,825.0,713.4526302939967
Yearling Steer,280-330,Feeder,C,2,40,35,280.0,376.0,340.2,-42.8,518.5,696.3,630.0,840.0,1178.1,1026.720002746582
Yearling Steer,280-330,Restocker,C,2,90,-4,290.0,400.0,364.73333333333335,-46.2,537.0,740.7,675.4,826.5,1300.0,1156.2944444444445
Yearling Steer,280-330,Restocker,D,2,2,NQ,252.0,278.0,265,NQ,466.7,514.8,490.7,718.2,903.5,810.8500061035156
